gemeinde,staat,bevoelkerung,bevoelkerung_dichte,haushalt_groesse,median_einkommen,prozent_pension,prozent_armut,prozent_arbeitslos,prozent_metro,verbrechen,haeufigkeit
Duncanvillecity,TX,35748,3057.5,2.86,41028,12.66,3.78,4.57,0.89,mord,0
NewProvidenceborough,NJ,11439,3001.1,2.7,62420,18.5,2.45,2.71,7.98,mord,0
Barnstabletown,MA,40949,658.2,2.47,33411,22.03,6.78,7.22,1.18,mord,2
Rutherfordborough,NJ,17790,6118.4,2.66,46499,18.89,3.68,4.17,18.82,mord,0
Torrancecity,CA,133107,6260.9,2.53,47204,14.75,5.15,3.95,1.53,mord,12
RedwoodCitycity,CA,66072,3349.1,2.59,42962,14.76,8.3,3.82,3.85,mord,3
Lancastertownship,PA,13187,2104.5,2.47,35855,21.23,6.27,3.31,1.68,mord,0
Redlandscity,CA,60394,2398.1,2.75,37073,18.12,8.98,4.78,0.37,mord,5
Dublincity,CA,23229,2618.2,3.42,53710,11.37,4.23,3.52,2.12,mord,0
Breacity,CA,32873,3178,2.69,51253,13.79,3.55,3.31,0.75,mord,3
Princetonborough,NJ,12016,6306.9,3.68,43092,15.66,9.64,3.21,5.17,mord,0
Sturgiscity,MI,10130,1925.9,2.56,23642,17.03,11.86,5.25,0.09,mord,0
Jeffersontownship,NJ,17825,422.4,2.82,48889,14.05,2.43,2.94,2.22,mord,0
Woodlandcity,CA,39802,4187.9,2.8,31671,13.9,9.59,7.85,0.6,mord,2
NorthBrunswicktownship,NJ,31287,2508.1,2.71,49900,12.25,2.67,3.08,8.09,mord,0
Springfieldcity,OH,70487,3485.1,2.59,21407,20.99,20.87,8.74,1.06,mord,6
Corsicanacity,TX,22911,1062.7,2.67,21238,15.38,21.04,8.15,0.19,mord,0
Woostercity,OH,22191,1813.5,2.58,27148,16.65,12.69,5.93,0.91,mord,0
LosAngelescity,CA,3485398,7168.1,2.86,30925,10.5,18.86,8.34,10.92,mord,1076
Harrisontown,NJ,13425,10587.5,2.76,33969,15.48,11.55,7.53,17.27,mord,0
Swanseatown,MA,15411,644.9,2.93,40117,20.65,4.92,4.6,0.39,mord,0
Monroecity,MI,22902,2458.4,2.72,29088,17.67,15.39,7.38,0.5,mord,0
Madisontownship,OH,18749,401.2,2.9,35575,18.25,4.1,4.98,1,mord,0
Seasidecity,CA,38901,4254.3,3.66,28655,16.08,12.22,4.37,3.56,mord,6
Grapevinecity,TX,29202,901.6,2.66,48901,8.25,4.24,3.09,0.28,mord,0
WestChesterborough,PA,18041,9469.3,2.95,31262,12.91,17.07,5.7,2.39,mord,0
Eatontownborough,NJ,13800,2251.7,2.54,36864,16.48,5.14,4.16,2.34,mord,0
AnnArborcity,MI,109592,4085,2.63,33344,10.07,16.08,3.81,5.7,mord,2
Salemcity,OH,12233,2570,2.44,23684,20.07,13.85,5.19,0.1,mord,0
UnionCitycity,NJ,58012,44229.9,2.81,25655,9.8,18.18,10.87,27.8,mord,1
FosterCitycity,CA,28176,7232,2.51,60462,11.54,2.95,3.4,3.93,mord,1
Flintcity,MI,140761,4015.8,2.61,20176,19.86,30.58,18.29,2.43,mord,48
NewBrunswickcity,NJ,41711,7709.4,3.28,28289,11.84,21.96,8.85,12.35,mord,5
EastPaloAltocity,CA,23451,8883,3.37,29206,11.1,17.55,10.6,8.38,mord,4
LeagueCitycity,TX,30159,566.3,2.85,45043,8.14,4.92,3.09,1.2,mord,0
Astontownship,PA,15080,2534.6,2.93,44083,19.82,3.15,3.4,1.82,mord,0
GloucesterCitycity,NJ,12649,5549.8,2.75,28998,21.51,9.18,5.92,3.17,mord,0
Shalertownship,PA,30533,2653.4,2.63,36972,20.91,2.95,3.8,6.1,mord,0
Goshentownship,OH,12697,355.3,2.99,31617,13.23,8.41,5.71,0.78,mord,0
Chestercity,PA,41856,8345.8,2.88,20864,16.98,25.16,12.4,12.81,mord,28
Dallascity,TX,1006877,2838.4,2.5,27489,9.85,17.97,7.43,6.68,mord,317
CulverCitycity,CA,38793,7336,2.4,42971,13.44,6.68,4.13,4.33,mord,4
Readingcity,PA,78380,7732.5,2.5,22112,17.34,19.41,8.63,7.29,mord,6
Richmondcity,CA,87425,2838.8,2.67,32165,17.29,16.1,9.43,13.14,mord,52
Methuentown,MA,39990,1722.8,2.73,37701,19.94,7.2,7.65,1.8,mord,2
Nortoncity,OH,11475,552.6,2.8,34198,20.1,5.4,5.33,0.27,mord,0
Missioncity,TX,28653,1990.9,3.45,17489,15.65,37.33,12.14,0.42,mord,0
Middletownship,NJ,14771,200,2.76,30524,19.68,7.99,7.94,1.23,mord,0
MountLaureltownship,NJ,30270,1339.6,2.56,50843,13.62,1.99,2.55,3.5,mord,0
CostaMesacity,CA,96357,5980.4,2.57,40313,10.28,9.17,4.17,3.03,mord,5
LosAlamitoscity,CA,11676,2798.7,2.84,45171,15.78,4.38,4.24,0.15,mord,0
SouthOrangeVillagetownship,NJ,16390,5529.7,3.17,64338,14.6,3.03,3.64,14.68,mord,0
RedBluffcity,CA,12363,1641.4,2.57,19474,15.89,20.41,9.88,0,mord,0
Colleyvillecity,TX,12724,937,3.11,77530,12.08,1.25,3.12,0.27,mord,0
Pittsburgcity,CA,47564,4222.7,3.04,38532,14.42,10.79,7,4.53,mord,2
MissionViejocity,CA,72820,4027.7,2.89,61058,13.66,1.96,2.9,0.62,mord,3
LongBeachcity,CA,429433,8287.7,2.7,31938,13.73,16.82,6.54,6.3,mord,126
Coronacity,CA,76095,2579.1,3.18,43555,11.97,8.31,5.76,0.73,mord,1
Beverlycity,MA,38195,2388,2.58,39603,17.89,6.62,5.42,5.14,mord,0
Geneseetownship,MI,24093,791.2,2.74,30160,24.08,13.77,11.36,0.51,mord,2
SanBrunocity,CA,38961,5846.5,2.66,42019,15.36,4.77,4.12,6.3,mord,0
PortLavacacity,TX,10886,1642.4,2.88,21946,14.01,20.44,9.97,0.24,mord,0
Alicecity,TX,19788,1631.1,3.11,18962,10.69,28.5,9.97,0.24,mord,0
Coronadocity,CA,26540,3324.1,3.62,47790,25.71,4.07,1.71,6.26,mord,3
LaPalmacity,CA,15392,8169.9,3.2,54364,12.34,5.89,2.5,0.67,mord,1
Dinubacity,CA,12743,4583.8,3.41,22032,12.07,22.58,14.95,0,mord,0
Bernardstownship,NJ,17199,691.9,2.71,70000,13.47,1.52,2.86,5.87,mord,0
Clearlakecity,CA,11804,1101.9,2.28,16600,23.99,22.15,12.8,0.57,mord,1
Fremontcity,OH,17648,2753.9,2.65,25385,16.11,14.66,10.08,0.53,mord,0
Midlandcity,MI,37819,1341.7,2.57,39087,17.36,9.26,4.97,0.29,mord,0
Lebanoncity,OH,10453,1087.9,2.62,27095,16.84,8.65,1.93,0.14,mord,0
Pariscity,TX,24699,876.6,2.52,18743,16.49,25.43,8.5,0,mord,3
Hawthorneborough,NJ,17084,4854.5,2.5,43109,17.26,3.42,3.95,3.69,mord,0
DeSotocity,TX,30544,1365.5,2.84,45550,10.73,3.98,4.11,0.78,mord,0
Raritantownship,NJ,15616,398.2,2.83,61524,10.99,2.31,2.46,1.55,mord,0
TraverseCitycity,MI,15116,1838.9,2.45,27373,16.77,8.7,4.19,0.83,mord,0
Rockwallcity,TX,10486,690.4,2.69,44130,13.46,7.64,4.58,0.56,mord,0
LowerAllentownship,PA,15254,1431.1,2.6,37461,26.81,3.65,2.17,1.1,mord,0
Willingborotownship,NJ,36291,4547.1,3.29,47121,25.01,4.47,5.61,4.94,mord,1
RidgefieldParkvillage,NJ,12454,6943.6,2.51,42464,13.84,5.1,4.59,12.87,mord,0
Emmetttownship,MI,10764,322.2,2.62,30200,18.77,11.94,8.18,0,mord,1
Hinghamtown,MA,19821,851.4,2.87,60274,17.1,2.64,5.9,9.33,mord,0
Butlertownship,PA,17625,788.6,2.58,31503,26.6,7.56,5.17,0.26,mord,0
Lindencity,NJ,36701,3278.7,2.55,35911,20.49,5.63,6.69,5.81,mord,1
Kalamazoocity,MI,80277,3153.6,2.73,23207,13.75,26.23,9.17,2.49,mord,8
Westfieldtown,NJ,28870,4138.5,2.81,66760,15.18,1.79,2.99,11.58,mord,0
GrandTerracecity,CA,10946,3047.3,2.84,45127,16.48,3.64,4.24,0.66,mord,0
Carsoncity,CA,83995,4303,3.53,43882,17.22,6.95,7.17,2.42,mord,10
Berkeleytownship,NJ,37319,839.6,2.12,23028,45.51,4.57,7.32,1.92,mord,0
Hilliardcity,OH,11796,1320.6,2.81,36415,12.91,4.18,4.05,0.51,mord,0
Greenfieldtown,MA,18666,829.1,2.43,26680,17.95,11.93,5.91,0.74,mord,0
Lomitacity,CA,19382,9868.6,2.46,36222,14.17,10.68,4.7,2,mord,0
RedondoBeachcity,CA,60167,9250.8,2.25,51913,10.17,5.59,3.38,1.41,mord,4
Mariettacity,OH,15026,1885,2.53,20950,19.38,17.68,6.82,0.95,mord,1
LaPuentecity,CA,36955,10219.9,4.1,33273,11.83,14.02,9.23,5.22,mord,8
WalnutCreekcity,CA,60569,3028.4,2.14,45529,23.06,3.81,3.27,12.57,mord,1
UpperDarbytownship,PA,81177,9963.3,2.48,32356,19.91,6.99,4.78,15.22,mord,2
Hollistercity,CA,19212,3283,3.26,32857,13.51,11.71,10.99,0.28,mord,0
SaddleBrooktownship,NJ,13296,4712.2,2.72,46082,19.05,3.77,5.56,4.4,mord,0
Quincycity,MA,84985,4887.1,2.38,35858,19.09,6.82,6.92,18.15,mord,2
YubaCitycity,CA,27437,3832,2.59,23491,17.12,18.56,11,0.25,mord,2
Denvilletownship,NJ,13812,1101.5,2.83,59724,18.09,2.06,2.73,3.73,mord,0
Perriscity,CA,21460,697.7,3.19,28611,14.71,15.73,9.73,0.51,mord,5
Lakewoodcity,OH,59718,10393,2.21,28791,14.95,8.5,4.87,10.17,mord,0
Zanesvillecity,OH,26778,2482.6,2.48,17658,19.11,25.86,13.05,1.28,mord,3
Muhlenbergtownship,PA,12636,1047.1,2.51,32979,27.59,5.71,3.05,0.75,mord,1
RiverEdgeborough,NJ,10603,5428.5,2.6,52126,21.48,2.38,2.93,16.12,mord,0
MorenoValleycity,CA,118779,2333.6,3.4,42186,13.92,8.36,7.31,0.91,mord,12
Ramseyborough,NJ,13228,2304.4,2.84,65590,13.94,2.46,3.75,8.34,mord,1
CopperasCovecity,TX,24079,2479.3,2.98,24596,21.81,11.97,7.81,0.16,mord,0
Ketteringcity,OH,60569,3134.5,2.32,34506,22.5,4.17,3.09,1.84,mord,0
Dumontborough,NJ,17187,8359.4,2.78,48776,19.15,3.26,4.09,10.52,mord,0
Novicity,MI,32998,1046,2.6,47518,13.19,3.26,3.9,0.24,mord,1
Xeniacity,OH,24664,2657.8,2.73,25508,18.56,15.49,7.43,0.32,mord,3
Troycity,OH,19478,2189.3,2.55,29032,18.56,9.83,4.52,0.55,mord,1
Melrosecity,MA,28150,5784.6,2.57,44109,19.44,4.23,4.8,15.95,mord,0
Paradisetown,CA,25408,1315.7,2.3,22954,30.05,11.13,7.48,0.57,mord,0
Nilescity,MI,12456,2336.1,2.41,23700,17.29,13.67,5.19,0.64,mord,0
AgouraHillscity,CA,20390,2410.2,3.08,70919,6.73,3.53,3.61,0.62,mord,0
Greenvillecity,TX,23071,936.9,2.64,25075,14.1,16.85,6.29,0.29,mord,2
Burlingamecity,CA,26801,5955.8,2.17,42487,16.3,4.69,2.8,7.7,mord,1
Haddontownship,NJ,14837,5324,2.38,36215,22.77,3.75,2.28,11.79,mord,1
Burkburnettcity,TX,10145,1028.9,2.69,25943,21.07,13.93,8.04,0,mord,0
Harrisburgcity,PA,52376,6234.9,2.43,20329,17.42,27.02,10.31,12.67,mord,13
Lancastercity,TX,22117,732.4,2.87,31489,11.09,10.06,5.42,0.52,mord,2
Lodiborough,NJ,22355,9533.9,2.49,33311,15.38,6.12,7.04,6.03,mord,0
Detroitcity,MI,1027974,7153,2.75,18742,17.52,32.41,19.67,10.57,mord,579
Visaliacity,CA,75636,3107.5,2.9,29463,13.18,17.62,6.83,0.8,mord,3
Oxfordtown,MA,12588,456.3,2.8,36682,13.85,4.51,6.67,0.55,mord,0
Andrewscity,TX,10678,2163.3,2.98,26136,14.51,16.11,7.12,0,mord,0
Seguincity,TX,18853,1534.3,2.97,19970,15.84,27.8,8.74,0,mord,2
Hawthornecity,CA,71349,11605.2,2.63,30967,9.61,13.92,6.89,5.13,mord,12
Pennsvilletownship,NJ,13794,576.4,2.6,38025,22.84,6.1,3.62,1.1,mord,1
Melvindalecity,MI,11216,3905.3,2.4,26179,22.55,12.12,8,1.63,mord,0
SanJacintocity,CA,16210,1477.4,2.69,20810,21.93,15.96,8.24,0.48,mord,1
Sacramentocity,CA,369365,3702.5,2.56,28183,16.66,17.21,7.6,4.1,mord,85
Scrantoncity,PA,81805,3131.4,2.51,21060,20.07,15.22,6.55,3.02,mord,2
Centertownship,PA,10742,673.2,2.77,34978,27.37,4.07,4.72,0.33,mord,0
CityofOrangetownship,NJ,29925,13083.7,2.58,27301,14.13,17.8,9.74,19.92,mord,3
SouthGatecity,CA,86284,11329.3,3.85,27279,11.36,17.44,10.81,8.02,mord,11
FortWorthcity,TX,447619,1537.2,2.66,26547,13.58,17.42,7.43,1.65,mord,133
Oceantownship,NJ,25058,2190.2,2.71,46885,15.48,3.2,4.61,3.56,mord,0
Harvardtown,MA,12329,451.5,4.14,47299,6.89,3.88,1.66,13.49,mord,0
NewportBeachcity,CA,66643,4589.7,2.16,60374,12.76,5.67,3.01,0.95,mord,3
Martinezcity,CA,31808,2740.2,2.54,45964,14.69,5.95,4.07,6.08,mord,0
Montclairtownship,NJ,37729,5776.7,2.6,52442,15.01,6.03,5.41,19.72,mord,0
Hollandcity,MI,25086,2853.3,2.99,30469,14.16,12.82,5.32,0.66,mord,1
UpperArlingtoncity,OH,34128,3421.8,2.45,53140,22.18,1.38,1.87,1.7,mord,0
Glendoracity,CA,47828,2371.5,2.93,46116,14.14,4.96,4.3,1.39,mord,0
Sumptertownship,MI,10891,279.8,2.95,34929,15.87,7.64,9.78,0,mord,0
Bellinghamtown,MA,14877,776.3,2.95,45397,13.43,3.42,6.41,2.13,mord,0
MountOlivetownship,NJ,21282,674.7,2.67,45828,9.28,2.77,3.64,1.23,mord,0
Hanoverborough,PA,14399,3807.6,2.28,24947,15.07,8.35,3.35,0.51,mord,2
Westlakecity,OH,27018,1640.4,2.63,47629,16.74,2.07,3.03,2.97,mord,0
Massilloncity,OH,31007,2268.2,2.56,23819,23.02,14.44,8.98,0.21,mord,2
Roxburytownship,NJ,20429,923.4,3.14,57484,16.18,2.29,3.25,1.78,mord,0
Artesiacity,CA,15464,9248.8,3.52,36383,13.28,9.28,6.62,1.17,mord,3
Urbanacity,OH,11353,1775,2.52,26684,19.18,11.61,7.28,1.03,mord,0
Highlandcity,CA,34439,2450.1,3.04,31561,17.72,15.79,8.66,1,mord,4
Southgatecity,MI,30771,4331.5,2.54,36526,21.39,4.62,6.09,0.96,mord,0
Moorestowntownship,NJ,16116,1053.1,2.76,54834,18.22,2.91,3.03,2.89,mord,0
Rialtocity,CA,72388,3288.6,3.31,36233,15.13,12.12,8.12,0.82,mord,10
Irvingtontownship,NJ,61018,19984.9,2.75,30529,10.7,12.38,9.91,19.9,mord,10
Hobokencity,NJ,33397,25331.5,2.22,34873,8.5,16.39,6.16,52.59,mord,2
Harlingencity,TX,48735,1747,3.17,20858,13.71,29.93,9.65,0.14,mord,6
Clintontown,MA,13222,2237.7,2.49,34091,13.31,7.48,5.35,0.05,mord,1
Sayrevilleborough,NJ,34986,2092.8,2.74,46057,19.82,3.1,4.04,8.87,mord,0
Winchestertown,MA,20267,3239.4,2.78,65994,17.26,2.63,3.64,8.84,mord,0
Bellmawrborough,NJ,12603,4012.2,2.69,34887,20.87,4.34,5.28,4.26,mord,0
Lodicity,CA,51874,4722.7,2.73,30739,16.86,12.6,6.45,0.1,mord,2
Stoughtontown,MA,26777,1611.4,2.85,42044,15.91,4.78,5.81,5.98,mord,0
Holmdeltownship,NJ,11532,621.3,3.42,83975,13.57,1.77,2.67,10.6,mord,0
NorthPlainfieldborough,NJ,18820,6512.1,2.56,41875,14.09,3.66,3.76,5.04,mord,0
Yeadonborough,PA,11980,7175.4,2.5,35951,20.4,5.47,5.26,23.44,mord,0
SanFranciscocity,CA,723959,14962.8,2.37,33414,14.37,12.66,6.2,34.88,mord,129
Covinacity,CA,43207,6041.2,2.78,38907,13.04,7.63,5.35,2.84,mord,10
SantaFeSpringscity,CA,15520,1728.3,3.33,33313,18.86,10.57,8.61,2.65,mord,3
Farmingtoncity,MI,10132,3665.7,2.17,41040,27.02,3.64,4.82,0.93,mord,0
Winslowtownship,NJ,30087,503.3,3.09,39916,12.71,7.35,5.37,6.02,mord,1
SantaMonicacity,CA,86905,10143,1.94,35997,10.37,9.35,4.81,5.41,mord,9
Eriecity,PA,108718,4772.8,2.58,22032,19.63,19.3,8.85,3.82,mord,7
GrandRapidscity,MI,189126,4124.7,2.74,26809,14.2,16.12,7.35,3.39,mord,33
VanWertcity,OH,10891,2102,2.48,25324,18.49,8.92,5.73,0.2,mord,0
NortonShorescity,MI,21755,903.4,2.62,33646,22.59,7.23,5.11,0.2,mord,0
Vermilioncity,OH,11127,1004.2,2.8,37500,20.14,8.54,4.74,0.13,mord,0
Westervillecity,OH,29092,3417.4,2.96,48137,15.36,2.75,2.55,0.69,mord,0
NorthAdamscity,MA,16797,793.1,2.54,22100,20.49,14.33,9.86,1.84,mord,0
Wallingtonborough,NJ,10828,10395.5,2.32,32332,18.68,5.18,8.03,6.53,mord,0
GalenaParkcity,TX,10033,1941.4,3.27,24103,18.21,19.42,8.29,0.9,mord,0
Leicestertown,MA,10191,421,2.95,40321,14.58,4.1,5.55,1.1,mord,1
Alamedacity,CA,76459,6865.9,2.63,38122,17.14,6.81,3.53,14.46,mord,1
Fairfieldcity,OH,39729,1840.1,2.6,38531,12.76,3.77,3.66,0.54,mord,2
Millbraecity,CA,20412,6133.4,2.57,45999,21.98,5.4,3.19,5.08,mord,1
Lancastercity,PA,55551,7270.3,2.62,22210,15.54,20.93,6.47,5.48,mord,11
Ashlandtown,MA,12066,935.8,2.62,51173,12.76,1.92,5.21,3.31,mord,0
Richlandtownship,PA,12777,631.1,2.79,27154,27.62,7.54,5.82,0.86,mord,0
Arcadiacity,CA,48290,4284.1,2.63,47347,16.73,5.23,3.63,1.76,mord,2
Miltontown,MA,25725,1904.3,2.94,53130,23.5,3.04,4.52,10.43,mord,0
Indiocity,CA,36793,2084.8,3.42,25976,12.22,21.24,9.83,1.14,mord,13
ForestParkcity,OH,18609,2834.7,2.84,37050,13.5,5.55,5.23,3.79,mord,1
Cranfordtownship,NJ,22633,4533.9,2.77,54469,19.72,2.51,2.57,8.46,mord,0
Banningcity,CA,20570,1077,2.77,22514,24.93,16.86,10.81,0.44,mord,5
LosBanoscity,CA,14519,2007.6,3.04,24649,12.31,19.4,10.21,0,mord,0
Romuluscity,MI,22897,615.4,2.92,31723,13.44,12.94,9.6,0.14,mord,3
Beniciacity,CA,24437,1844.6,2.65,49660,17.6,5.43,4.19,3.11,mord,0
Medfordtownship,NJ,20526,503.9,3,59834,15.02,2.3,4.36,2.02,mord,2
MineralWellscity,TX,14870,705.5,2.73,19456,16.38,23.17,9.68,0.69,mord,1
Alhambracity,CA,82106,10393.2,2.91,31368,11.72,14.75,6.05,5.99,mord,3
Millburntownship,NJ,18630,1915.8,2.7,83275,15.57,1.94,2.25,17.53,mord,0
Pepperelltown,MA,10098,432.1,2.98,44492,8.49,3.98,5.47,0.59,mord,1
EastBrunswicktownship,NJ,43548,1910.5,2.92,58769,15.05,2.27,3.86,10,mord,0
MountainViewcity,CA,67460,5410.7,2.25,42431,11.34,6.22,3.17,4.19,mord,2
Athenscity,TX,10967,768.4,2.62,18870,13.81,21.95,9,0,mord,1
LincolnParkcity,MI,41832,6903,2.57,30638,23.56,8.53,7.78,1.21,mord,5
Ypsilanticity,MI,24846,5501.8,2.91,21219,10.17,29.47,7.5,3.53,mord,4
Braintreetown,MA,33836,2351.7,2.84,44734,23.45,4.1,6.7,7.87,mord,0
Dovercity,OH,11329,2301.7,2.56,27688,19.41,7.46,6.74,0.3,mord,0
Elizabethcity,NJ,110002,8617.3,2.81,27631,13.14,16.12,9.91,10.61,mord,17
Patersoncity,NJ,140891,16110.7,3.21,26960,11.16,18.54,11.04,10.55,mord,23
SomersPointcity,NJ,11216,2685.8,2.37,31793,16.18,6.25,3.44,2.89,mord,1
Orindacity,CA,16642,1275.8,2.64,80968,18.61,2.36,2.98,11.77,mord,0
Fontanacity,CA,87535,2372,3.32,35558,12.96,11.4,7.37,0.6,mord,14
AuburnHillscity,MI,17076,992.3,2.65,34825,10.8,7.38,4.18,0.31,mord,0
HasbrouckHeightsborough,NJ,11488,7345.3,2.63,44672,19.09,2.51,4.58,9.64,mord,0
Marlboroughcity,MA,31813,1456.1,2.62,41315,13.75,5.65,6.16,0.65,mord,0
Stantoncity,CA,30491,9422.4,2.96,33367,12.85,13.62,8.43,3.65,mord,4
Florencetownship,NJ,10266,1020.1,2.72,37764,19.71,6.77,4.46,0.26,mord,0
Marquettecity,MI,21977,1859.9,2.77,24365,15.71,16.57,7.2,0.91,mord,0
Miamitownship,OH,28199,819.5,2.95,42530,11.83,4.3,3.02,0.98,mord,1
Reedleycity,CA,15791,3912.5,3.42,24128,12.15,22.42,15.46,0.91,mord,2
MapleShadetownship,NJ,19211,4818.2,2.27,32955,16.44,2.77,4.89,4.13,mord,0
Huntsvillecity,TX,27925,1285.9,3.56,17876,11.04,30,8.13,0.21,mord,7
Vidorcity,TX,10935,999.5,2.78,24568,13.69,15.12,6.4,0,mord,2
SanMarinocity,CA,12959,3322.8,3.01,100077,14.37,3.88,2.81,0.99,mord,0
Inglewoodcity,CA,109602,11537.1,3.04,29881,10.45,16.47,10,7.5,mord,45
Nilescity,OH,21128,2404.8,2.5,25547,19.77,12.66,7.01,0.34,mord,0
SouthPasadenacity,CA,23936,6731.2,2.34,43043,10.13,5,2.55,1.71,mord,0
Piscatawaytownship,NJ,47089,2419.6,3.36,50451,12.04,2.88,4.6,5.88,mord,0
Everettcity,MA,35701,10186.3,2.46,30786,18.34,9.6,7.59,17.59,mord,1
Hudsontown,MA,17233,1445.6,2.71,45191,13.53,3.61,5.46,0.6,mord,0
BethelParkborough,PA,33823,2793.2,2.66,41149,20.65,3.81,3.78,11.79,mord,0
Amesburytown,MA,14997,1166.8,2.72,37889,16.18,6.25,8.27,0.84,mord,0
Uxbridgetown,MA,10415,340.2,2.76,40059,16.88,5.87,6.65,0.26,mord,0
Northboroughtown,MA,11929,621.2,2.94,57963,10.85,2.82,4.57,0.61,mord,0
Springdalecity,OH,10621,2081.4,2.51,38128,17.85,4.01,3.59,1.17,mord,0
PalosVerdesEstatescity,CA,13512,2713.3,2.73,101320,18.7,2.25,3.56,0.88,mord,0
Williamsportcity,PA,31933,3468.4,2.54,20290,15.79,21.12,9.51,5.42,mord,2
Coppellcity,TX,16881,1106.5,2.81,58815,5.5,2.51,2.28,0.72,mord,2
GrossePointeWoodscity,MI,17715,5241.1,2.7,55657,22.76,1.74,2.21,1.73,mord,0
Pomonacity,CA,131723,5570.2,3.61,32132,11.02,18.43,9.08,3.24,mord,40
GreenOaktownship,MI,11604,322.8,2.98,47421,16.27,2.87,4.31,0,mord,0
Eastontown,MA,19807,672.2,3.08,50647,12.92,4,4.71,3.26,mord,0
Beltoncity,TX,12476,1118.3,2.96,18549,16.99,25.98,8.72,0.24,mord,0
Lakewoodtownship,NJ,45048,1751.5,2.75,29211,20.68,16.09,7.29,3.9,mord,3
GroveCitycity,OH,19661,1879.5,2.66,34350,18.52,5.82,3.23,1.69,mord,0
Pennsaukentownship,NJ,34738,3181.5,2.8,36097,18.78,5.46,4.26,5.23,mord,2
Perrysburgcity,OH,12551,2599.8,2.61,44277,18.46,2.12,3.98,1.52,mord,0
Veronatownship,NJ,13597,4770.2,2.47,55248,19.75,1.73,2.54,6.56,mord,0
