communityname,state,population,householdsize,pctUrban,medIncome,pctWSocSec,pctWRetire,whitePerCap,blackPerCap,AsianPerCap,HispPerCap,PctPopUnderPov,PctNotHSGrad,PctUnemployed,TotalPctDiv,PersPerFam,PctWorkMom,NumImmig,PctImmigRecent,PctNotSpeakEnglWell,RentMedian,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,LandArea,PopDens,PctUsePubTrans,murders,robberies,assaults,burglaries,larcenies,autoTheft,arsons
Bellairecity,TX,13842,2.35,100,45892,25.19,15.55,24669,12941,36559,12650,3.33,7.59,2.69,12.8,2.86,74.41,703,0.85,1.21,529,0,0,5.08,60.71,3.7,3697.1,1.11,1,24,25,149,357,45,1
ElCajoncity,CA,88693,2.7,100,28108,21.99,16.03,14237,9215,9291,8951,12.92,21.49,7.07,16.22,3.09,62.42,8610,20.75,3.17,507,13,76,9.71,45.45,14.9,5943,2.17,8,243,540,1368,4316,889,31
Laredocity,TX,122899,3.84,100,18395,22.73,7.95,7674,2922,13361,6331,37.29,51.16,11.24,8.73,4.16,52.73,29945,14.07,21.64,245,4,0,24.37,67.12,34.1,3608.7,3.55,21,163,862,1720,6246,1040,80
Oakdalecity,CA,11961,2.71,0,27230,28.75,18.4,12334,17759,8531,8180,12.63,30.95,10.34,14.31,3.12,61.73,976,14.24,3.08,395,11,0,8.16,62.95,4.2,2853.3,0,0,7,37,161,502,51,13
Norcocity,CA,23302,4.17,100,51594,17.3,12.75,16771,4590,12843,9872,5.34,24.25,5.1,9.94,3.49,57.79,1672,6.76,2.25,617,0,0,7.18,58.08,14.2,1641.4,0.27,1,29,117,279,554,256,15
SanCarloscity,CA,26167,2.37,100,54658,25.65,18.84,28647,27282,23416,20889,2.73,8.38,2.43,11.26,2.82,71,3283,6.37,1.64,744,0,0,12.55,55.31,5.8,4486.8,3.98,1,24,32,153,586,54,0
Barbertoncity,OH,27623,2.49,100,21688,35.91,24.38,10712,4962,18690,9710,16.93,31.19,8.67,12.63,3.03,61.45,398,4.77,0.45,255,0,0,1.44,79.34,7.9,3513.5,1.91,0,22,176,206,990,89,19
Pontiaccity,MI,71166,2.87,100,21962,23.85,16.66,10927,8937,5723,7537,26.67,37.61,14.4,17.89,3.34,59.61,1641,11.7,1.35,362,132,3,2.31,66.2,20.7,3434.7,0.9,19,423,1420,1470,1964,874,60
Bricktownship,NJ,66473,2.66,100,38742,34.09,22.5,16562,9763,17930,13815,3.74,20.23,5.55,7.69,3.1,64.45,3133,5.52,0.85,604,17,0,4.71,71.99,27.2,2441,1.75,2,28,51,415,1214,98,14
LagunaBeachcity,CA,23170,2.09,100,53419,19.88,13.14,40887,28939,48414,15271,6.14,5.87,1.84,16.9,2.65,70.85,2587,17.67,2.03,859,6,50,11.17,41.06,9,2575.6,1.97,0,22,164,412,874,139,3
Robstowncity,TX,12849,3.59,0,16180,32.32,9.2,6694,5575,0,5022,37.04,61.8,12.26,10.59,3.96,44.65,644,0,14.64,179,0,0,4.97,92.04,9.6,1345.2,1.23,1,3,52,302,324,56,8
Wyomingcity,MI,63891,2.64,100,31103,21.77,13.42,13449,11422,7932,10078,7.07,21.43,5.13,11.33,3.15,74.84,2230,7.98,0.95,397,0,0,3.49,81.96,25.2,2539,0.59,1,116,243,625,2235,264,13
BeverlyHillscity,CA,31971,2.2,100,54348,28,9.02,57381,30294,39787,28719,6.6,10.57,3.8,12.23,2.87,55.66,11133,13.57,4.86,902,0,5,34.82,26.78,5.9,5437.2,4.31,1,281,72,472,1755,221,14
UniversityHeightscity,OH,14790,2.87,100,43376,33.47,12.64,19456,16183,14356,12395,2.9,9.16,4.65,6.2,2.99,75.55,1522,7.16,0.8,482,0,0,10.29,62.7,1.9,7812.2,5.81,0,14,18,62,186,31,0
Marioncity,OH,34075,2.59,0,22439,30.89,16.99,10499,7185,12381,7572,16.85,30.32,10.98,14.6,3.1,66.36,256,0,0.24,232,4,0,0.75,81.01,8.3,4102.3,1.01,1,37,20,587,1533,103,3
Toledocity,OH,332943,2.54,100,24819,28.93,18.44,13077,7722,12415,7817,19.09,26.84,9.92,13.62,3.13,66.3,9263,19.16,0.8,286,260,12,2.78,76.14,83.5,3988.5,3,45,1594,1195,5502,15251,4517,357
Philadelphiacity,PA,1585577,2.63,100,24603,31.63,18.2,15027,9061,8285,6053,20.27,35.69,9.62,12.53,3.26,62.23,104814,16.38,2.63,358,3416,1069,6.61,73.58,140,11326,29.31,439,11531,6821,15117,39181,23785,2282
Newtoncity,MA,82585,2.8,100,59719,25.85,14.43,29657,20516,17833,18081,4.33,8.34,3.94,6.41,3.05,74.67,10758,16.03,1.63,809,196,0,13.03,55.34,18.7,4413,12.27,1,27,181,479,1467,248,0
Beavercreekcity,OH,33626,2.88,100,49143,17.53,21.15,18297,22636,21070,14954,3.51,11.01,3.13,5.81,3.14,69.9,1154,15.08,0.49,467,0,0,3.43,56.09,26.7,1260.7,0.34,0,20,13,200,1030,70,26
Springfieldtownship,OH,13352,2.82,73.6,32713,32.15,24.43,13832,12981,106165,5742,8.79,25.83,5.41,8.48,3.02,72.52,130,3.85,0.48,248,4,0,0.97,79.97,36.1,369.6,0.2,0,38,126,324,968,36,13
Swissvaleborough,PA,10637,2.16,100,23773,35.02,19.7,13833,7680,9378,22816,12.53,21.74,6.62,11.16,2.88,64.4,244,0,0.35,316,0,0,2.29,89.14,1.2,8564.4,16.83,2,18,18,65,200,121,9
ScotchPlainstownship,NJ,21160,2.79,100,58194,24.94,16.17,28517,18729,21945,17816,1.49,12.02,3.75,6.47,3.13,65.23,2311,9.91,1.53,702,0,0,10.92,58.63,9.4,2250.1,7.6,1,12,9,102,276,89,2
WhiteLaketownship,MI,22608,2.91,82.94,42549,17.54,13.94,16833,8975,21196,10504,4.36,16.57,6.2,10.75,3.22,71.03,464,8.84,0.23,457,0,0,2.05,84.3,34.8,648.8,0.18,0,3,61,157,618,47,9
Gallowaytownship,NJ,23330,2.94,64.02,41944,18.29,12.87,16234,17942,16840,12351,4.35,18.12,4.1,9.3,3.13,71.3,970,6.08,1,619,0,0,4.16,62.31,93.6,249.1,1.66,1,10,44,266,557,46,7
Sweetwatercity,TX,11967,2.62,0,19157,34.87,11.19,10689,4548,20000,5067,23.02,41.2,8.51,10.51,3.17,65.79,298,2.68,1.76,198,0,0,2.49,84.15,9,1329.7,0.58,1,9,97,214,451,30,5
Hulltown,MA,10466,2.76,100,37683,23.68,13.67,17090,9295,10134,6835,8.02,14.63,7.31,12.32,3.24,65.72,564,3.72,1.02,658,56,0,5.39,78.48,3.1,3397.6,8.66,0,0,93,105,101,18,3
Scotttownship,PA,17118,2.29,100,34644,30.83,20.56,17805,13019,57759,17215,4.13,16.84,3.05,7.8,2.89,71.98,526,6.27,0.48,465,0,0,3.07,84.64,4.1,4180.8,11.76,1,2,3,62,176,47,3
Pittsfieldtownship,MI,17668,2.52,70.5,34639,10.11,7.36,17590,14319,15891,11734,9.33,12.12,3.78,11.31,3.01,73.58,1450,23.72,0.93,531,0,0,8.21,60.66,29.1,606.6,2.48,0,43,50,256,1203,103,7
Duncanvillecity,TX,35748,2.86,100,41028,16.44,12.66,17853,12576,17993,11526,3.78,12.99,4.57,11.2,3.22,73.78,1211,5.95,0.56,456,0,0,3.39,63.45,11.7,3057.5,0.89,0,56,98,414,1188,262,16
NewProvidenceborough,NJ,11439,2.7,100,62420,25.1,18.5,30089,43680,26588,16825,2.45,9.49,2.71,5.8,3.1,66.83,1431,11.04,1.23,702,0,0,12.51,52.16,3.8,3001.1,7.98,0,3,3,12,93,18,2
Barnstabletown,MA,40949,2.47,83.39,33411,34.53,22.03,17706,13168,7154,8807,6.78,11.27,7.22,10.93,2.89,68.72,2264,16.17,1.06,575,273,6,5.53,67.37,62.2,658.2,1.18,2,29,723,609,666,128,0
Rutherfordborough,NJ,17790,2.66,100,46499,33.05,18.89,21350,13332,14364,16028,3.68,16.92,4.17,7.38,3.17,69.23,2857,16.94,3.21,618,5,0,16.06,60.14,2.9,6118.4,18.82,0,5,16,50,246,75,2
Torrancecity,CA,133107,2.53,100,47204,20.54,14.75,23111,23117,19955,14736,5.15,12.38,3.95,11.64,3.04,66.06,29516,22.23,5.83,740,0,18,22.17,41.72,21.3,6260.9,1.53,12,430,390,1582,4096,1704,54
RedwoodCitycity,CA,66072,2.59,100,42962,21.07,14.76,21670,12013,19598,9950,8.3,18.45,3.82,13.43,3.08,73.54,15722,18.78,7.86,670,91,125,23.8,50.11,19.7,3349.1,3.85,3,106,371,513,1876,453,2
Lancastertownship,PA,13187,2.47,97.79,35855,30.74,21.23,19257,11353,6595,9070,6.27,21.66,3.31,9.55,2.81,75.28,696,15.52,0.76,458,0,0,5.28,74.75,6.3,2104.5,1.68,0,7,3,79,307,38,3
Redlandscity,CA,60394,2.75,100,37073,22.9,18.12,19791,11465,13588,9402,8.98,15.38,4.78,12.03,3.19,64.88,6289,17.3,3.07,527,92,26,10.41,47.86,25.2,2398.1,0.37,5,150,296,975,1620,616,16
Dublincity,CA,23229,3.42,100,53710,11.54,11.37,19305,5883,16258,10668,4.23,14.13,3.52,13.69,3.2,72.22,1928,7.94,1.48,811,0,0,8.3,55.25,8.9,2618.2,2.12,0,16,49,120,490,61,2
Breacity,CA,32873,2.69,100,51253,18.84,13.79,22025,18108,18521,14209,3.55,12.59,3.31,10.85,3.15,69.6,4092,14.78,3.36,701,5,0,12.45,49.29,10.3,3178,0.75,3,51,69,309,1521,222,16
Princetonborough,NJ,12016,3.68,0,43092,26.4,15.66,24230,10497,7315,7352,9.64,11.6,3.21,5.92,2.79,66.72,2061,29.55,2.43,673,0,0,17.15,21.23,1.9,6306.9,5.17,0,4,6,97,487,16,1
Sturgiscity,MI,10130,2.56,0,23642,34.62,17.03,12088,4239,11351,4749,11.86,25.24,5.25,13.78,3.08,75.33,205,15.61,0.25,275,0,0,2.02,64.57,5.3,1925.9,0.09,0,2,21,57,310,16,2
Jeffersontownship,NJ,17825,2.82,44.04,48889,17.62,14.05,19860,14616,14199,19877,2.43,12.9,2.94,8.64,3.21,68.7,805,0.99,0.85,639,0,0,4.52,69.96,42.2,422.4,2.22,0,1,12,81,150,16,2
Woodlandcity,CA,39802,2.8,0,31671,22.64,13.9,15269,8174,9945,9389,9.59,23.84,7.85,13.1,3.2,74.67,4230,13.24,5.43,431,57,5,10.63,60.72,9.5,4187.9,0.6,2,32,184,483,1020,298,47
NorthBrunswicktownship,NJ,31287,2.71,100,49900,20.78,12.25,22709,16857,21284,14576,2.67,16.13,3.08,8.91,3.04,74.43,4686,15.39,3.33,662,8,0,14.98,54.61,12.5,2508.1,8.09,0,42,45,258,748,175,8
Springfieldcity,OH,70487,2.59,100,21407,31.35,20.99,11196,8112,15847,7654,20.87,31.67,8.74,14.39,3.06,65.42,765,15.42,0.28,247,2,8,1.09,78.59,20.2,3485.1,1.06,6,208,786,963,4048,457,6
Corsicanacity,TX,22911,2.67,0,21238,34.44,15.38,13426,5493,7163,6270,21.04,35.92,8.15,12.16,3.11,71.12,970,21.55,1.78,260,5,0,4.24,80.94,21.6,1062.7,0.19,0,38,93,383,1227,59,21
Woostercity,OH,22191,2.58,0,27148,28.3,16.65,14618,8449,9267,17914,12.69,20.68,5.93,11.46,2.97,68.31,496,29.44,0.19,293,0,0,2.24,69.56,12.2,1813.5,0.91,0,7,27,147,718,29,7
LosAngelescity,CA,3485398,2.86,100,30925,19.53,10.5,22191,11257,13875,7111,18.86,33,8.34,12.26,3.48,60.83,1336665,20.75,17.45,544,4597,3109,38.35,35.47,486.2,7168.1,10.92,1076,38415,42437,50232,119092,59764,5119
Harrisontown,NJ,13425,2.76,100,33969,26.37,15.48,13953,19673,11982,12246,11.55,42.64,7.53,8.63,3.22,63.1,5599,17.72,16.23,512,0,0,41.71,48.43,1.3,10587.5,17.27,0,33,39,168,276,242,1
Swanseatown,MA,15411,2.93,65.76,40117,32.44,20.65,15151,0,16347,6662,4.92,26.72,4.6,6.44,3.26,75.23,830,3.37,1.46,415,0,0,5.39,71.74,23.9,644.9,0.39,0,16,16,20,231,57,29
Monroecity,MI,22902,2.72,0,29088,29.24,17.67,13323,12601,11086,6141,15.39,30.11,7.38,11.28,3.18,60.79,554,25.81,0.85,347,14,0,2.42,70.33,9.3,2458.4,0.5,0,22,94,200,737,56,13
Madisontownship,OH,18749,2.9,69.9,35575,20.2,18.25,13296,15266,10909,14375,4.1,22.08,4.98,10.18,3.23,72.96,336,6.85,0.17,347,0,0,1.78,77.32,46.7,401.2,1,0,2,44,88,322,21,9
Seasidecity,CA,38901,3.66,100,28655,16.71,16.08,11524,10092,8754,7353,12.22,22.08,4.37,10.62,3.44,64.03,6949,23.83,5.54,565,21,2,17.87,30.34,9.1,4254.3,3.56,6,121,215,218,844,85,21
Grapevinecity,TX,29202,2.66,99.89,48901,8.89,8.25,19703,17851,16289,13851,4.24,10.57,3.09,12.29,3.09,70.31,773,17.98,1.01,400,0,0,2.65,45.99,32.4,901.6,0.28,0,15,78,210,776,69,14
WestChesterborough,PA,18041,2.95,100,31262,21.32,12.91,14170,9937,16335,6738,17.07,19.48,5.7,9.33,3,77.61,525,15.81,1.28,479,6,0,2.91,68.74,1.9,9469.3,2.39,0,29,55,118,653,55,6
Eatontownborough,NJ,13800,2.54,100,36864,22.02,16.48,18609,13072,17274,10591,5.14,14.77,4.16,10.45,3.05,66.99,1448,13.26,2.19,558,51,1,10.49,46.01,6.1,2251.7,2.34,0,13,16,74,593,41,0
AnnArborcity,MI,109592,2.63,100,33344,14.36,10.07,19119,11835,11657,11531,16.08,6.08,3.81,8.09,2.94,72.82,11945,31.78,1.41,529,195,4,10.9,51.16,26.8,4085,5.7,2,129,336,1101,4032,260,35
Salemcity,OH,12233,2.44,0,23684,35.95,20.07,11517,9222,49869,12713,13.85,26.28,5.19,11.74,3.01,59.83,158,13.29,0.17,236,0,0,1.29,79.24,4.8,2570,0.1,0,0,6,4,89,10,1
UnionCitycity,NJ,58012,2.81,100,25655,20.77,9.8,11488,10870,13355,9996,18.18,49.46,10.87,14.53,3.29,60.06,31959,14.61,30.91,451,189,25,55.09,25.9,1.3,44229.9,27.8,1,287,182,900,1171,538,7
FosterCitycity,CA,28176,2.51,100,60462,11.31,11.54,30694,24563,21756,22960,2.95,4.96,3.4,11.7,3.01,72.33,6342,18.83,3.38,947,0,0,22.51,41.41,3.9,7232,3.93,1,17,36,111,526,64,6
Flintcity,MI,140761,2.61,100,20176,27.15,19.86,12350,8464,14339,8330,30.58,30.71,18.29,17.92,3.17,57.44,2286,2.76,0.64,300,83,11,1.62,68.81,35.1,4015.8,2.43,48,1039,2507,4024,7701,2307,338
NewBrunswickcity,NJ,41711,3.28,100,28289,25,11.84,12735,9591,9675,7647,21.96,34,8.85,8.74,3.25,73.06,6989,24.7,7.03,569,105,17,16.76,50.29,5.4,7709.4,12.35,5,311,289,797,1959,337,19
EastPaloAltocity,CA,23451,3.37,100,29206,18.14,11.1,11102,10211,10094,6391,17.55,39.39,10.6,14.87,4.01,70.88,7038,20.69,14.8,532,57,64,30.01,41.26,2.6,8883,8.38,4,194,400,367,388,294,37
LeagueCitycity,TX,30159,2.85,99.49,45043,10.49,8.14,18626,14520,13588,8996,4.92,10.8,3.09,10.54,3.23,67.24,1763,8.11,2.02,457,0,2,5.85,53.83,53.3,566.3,1.2,0,14,26,333,884,92,0
Astontownship,PA,15080,2.93,100,44083,27.68,19.82,16165,20783,16641,9802,3.15,19.5,3.4,7.02,3.26,77.18,359,2.23,0.39,450,0,0,2.38,85.82,5.9,2534.6,1.82,0,6,30,52,218,32,6
GloucesterCitycity,NJ,12649,2.75,100,28998,35.22,21.51,12244,4267,9198,11592,9.18,36.6,5.92,12.07,3.28,64.06,235,3.4,0.42,383,26,0,1.86,74.91,2.3,5549.8,3.17,0,7,8,104,249,39,0
Shalertownship,PA,30533,2.63,100,36972,32.15,20.91,16034,22291,14612,20930,2.95,17.7,3.8,5.69,3.03,67.81,818,14.18,0.32,375,0,0,2.68,90.15,11.5,2653.4,6.1,0,4,20,46,293,44,1
Goshentownship,OH,12697,2.99,47.15,31617,21.19,13.23,11224,14904,0,15000,8.41,37.21,5.71,10.01,3.26,68.66,27,0,0.08,293,0,0,0.21,74.45,35.7,355.3,0.78,0,1,7,65,139,16,1
Chestercity,PA,41856,2.88,100,20864,33.59,16.98,11791,7974,9257,3870,25.16,37.84,12.4,14.44,3.38,69.12,852,7.16,0.94,291,113,1,2.04,75.9,5,8345.8,12.81,28,538,1309,958,1494,953,62
Dallascity,TX,1006877,2.5,100,27489,19.32,9.85,22898,8444,12628,7093,17.97,26.55,7.43,15.58,3.24,67.59,125862,15.56,6.13,375,1200,293,12.5,59.5,354.7,2838.4,6.68,317,7420,9439,20975,54183,17465,1324
CulverCitycity,CA,38793,2.4,100,42971,21.08,13.44,22991,21042,19631,11855,6.68,15.85,4.13,14.22,2.98,67.12,9121,12.51,5.4,730,84,0,23.51,39.89,5.3,7336,4.33,4,305,52,406,1450,469,1
Readingcity,PA,78380,2.5,100,22112,33.29,17.34,12217,8460,6953,5151,19.41,41.57,8.63,14.07,3.1,64.73,3362,17.85,5.07,292,172,0,4.29,76.71,10.1,7732.5,7.29,6,555,334,1521,3362,585,52
Richmondcity,CA,87425,2.67,100,32165,23.99,17.29,20133,11156,13797,10696,16.1,23.31,9.43,16.07,3.22,67.87,13613,14.69,5,506,186,130,15.57,50.88,30.8,2838.8,13.14,52,977,1752,2153,3786,1460,112
Methuentown,MA,39990,2.73,95.02,37701,32.69,19.94,15945,12837,12791,7289,7.2,26.02,7.65,7.94,3.2,72.38,2901,6.93,2.85,517,0,0,7.25,79.82,23.2,1722.8,1.8,2,43,85,258,1003,659,8
Nortoncity,OH,11475,2.8,100,34198,30.6,20.1,13746,19793,20233,0,5.4,22.93,5.33,7.42,3.13,65.29,183,14.21,0.9,325,0,0,1.59,78.51,20.8,552.6,0.27,0,5,15,68,241,10,4
Missioncity,TX,28653,3.45,100,17489,37.11,15.65,7587,11243,480,5133,37.33,47.39,12.14,7.43,3.8,54.71,6280,12.52,18.2,182,0,0,21.92,58.8,14.4,1990.9,0.42,0,12,56,456,1562,202,16
Middletownship,NJ,14771,2.76,0,30524,33.83,19.68,14339,8240,17324,5110,7.99,30.12,7.94,10.19,3.11,74.25,439,9.11,0.48,470,27,0,2.97,55.54,73.8,200,1.23,0,3,22,162,428,15,4
MountLaureltownship,NJ,30270,2.56,93.19,50843,17.44,13.62,23110,21232,34192,16332,1.99,10.1,2.55,9.21,3.03,69.33,1439,9.1,0.44,654,0,0,4.75,39.49,22.6,1339.6,3.5,0,10,18,200,383,81,2
CostaMesacity,CA,96357,2.57,100,40313,15.87,10.28,20021,17796,14690,8682,9.17,16.52,4.17,15,3.08,70.72,20787,21.97,8.08,759,225,26,21.57,42.58,16.1,5980.4,3.03,5,184,225,1250,4918,975,26
LosAlamitoscity,CA,11676,2.84,100,45171,18.88,15.78,19841,11200,20012,13766,4.38,14.1,4.24,13.42,3.14,68.55,1422,8.58,1.42,780,23,0,12.18,44.84,4.2,2798.7,0.15,0,18,22,143,279,101,17
SouthOrangeVillagetownship,NJ,16390,3.17,100,64338,27.67,14.6,32613,23417,28922,14173,3.03,9.98,3.64,6.55,3.21,73.48,1956,10.17,1.27,656,0,0,11.93,49.81,3,5529.7,14.68,0,82,28,224,498,496,0
RedBluffcity,CA,12363,2.57,0,19474,29.57,15.89,10369,3440,7699,6391,20.41,21.66,9.88,16.23,3.04,53.18,642,16.36,2.75,291,31,6,5.19,62.02,7.5,1641.4,0,0,16,109,106,769,75,9
Colleyvillecity,TX,12724,3.11,100,77530,9.48,12.08,31742,42375,46973,10510,1.25,6.98,3.12,5.15,3.27,58.75,435,22.76,0.52,496,0,0,3.42,44.35,13.6,937,0.27,0,1,4,31,229,8,1
Pittsburgcity,CA,47564,3.04,100,38532,20.03,14.42,15469,10521,13750,10286,10.79,23.51,7,12.46,3.44,65.81,8899,19.11,6.29,566,130,33,18.71,53.33,11.3,4222.7,4.53,2,199,235,899,1353,263,18
MissionViejocity,CA,72820,2.89,100,61058,15.65,13.66,24844,19738,18151,17938,1.96,6.33,2.9,8.93,3.2,65.83,9128,12.71,1.73,916,0,0,12.54,41.58,18.1,4027.7,0.62,3,32,142,687,1539,220,35
LongBeachcity,CA,429433,2.7,100,31938,21.04,13.73,20334,10518,9544,7758,16.82,24.49,6.54,13.78,3.36,57.56,104150,19.87,9.81,551,394,66,24.25,40.92,51.8,8287.7,6.3,126,3717,3073,6780,14108,7626,243
Coronacity,CA,76095,3.18,100,43555,14.43,11.97,16292,19120,15532,8767,8.31,23.88,5.76,9.9,3.5,65.63,14211,17.82,8.33,592,56,9,18.68,51.77,29.5,2579.1,0.73,1,237,219,1552,3099,1334,23
Beverlycity,MA,38195,2.58,100,39603,28.02,17.89,18551,14015,12859,12070,6.62,12.89,5.42,9.33,3.04,71.13,1896,7.33,0.71,583,43,0,4.96,75.97,16,2388,5.14,0,14,16,538,589,106,4
Geneseetownship,MI,24093,2.74,84.64,30160,26.39,24.08,12936,8902,9096,7505,13.77,27.6,11.36,12.9,3.11,61.72,359,1.67,0.32,299,0,0,1.49,81.92,30.5,791.2,0.51,2,15,92,278,481,91,9
SanBrunocity,CA,38961,2.66,100,42019,19.09,15.36,19667,12957,15914,13548,4.77,15.96,4.12,11.65,3.18,73.77,9386,12.97,4.76,709,5,0,24.09,53.33,6.7,5846.5,6.3,0,55,52,190,1408,218,10
PortLavacacity,TX,10886,2.88,0,21946,26.78,14.01,11409,7261,11843,6081,20.44,35.51,9.97,11.21,3.34,60.33,779,24.01,5.62,255,0,0,7.16,77.13,6.6,1642.4,0.24,0,8,135,155,437,28,6
Alicecity,TX,19788,3.11,0,18962,29.27,10.69,9117,4721,31527,6177,28.5,41.74,9.97,10.33,3.53,55.17,650,4,9.11,216,0,0,3.28,89.79,12.1,1631.1,0.24,0,10,122,389,961,41,22
Coronadocity,CA,26540,3.62,100,47790,30.93,25.71,23701,10450,12798,13588,4.07,5.88,1.71,9.8,2.79,70.42,2368,20.02,1.29,746,0,0,8.92,20.38,8,3324.1,6.26,3,19,48,214,552,145,9
LaPalmacity,CA,15392,3.2,100,54364,12.22,12.34,21960,18848,15184,14640,5.89,11.15,2.5,8.12,3.41,69.33,4251,15.08,6.41,729,0,1,27.62,44.28,1.9,8169.9,0.67,1,16,41,140,378,128,12
Dinubacity,CA,12743,3.41,0,22032,29.37,12.07,10137,3973,10103,5915,22.58,50.72,14.95,8.21,3.69,58.49,2966,16.62,16.08,296,0,0,23.28,54.7,2.8,4583.8,0,0,10,67,195,409,73,1
Bernardstownship,NJ,17199,2.71,90.8,70000,17.4,13.47,34046,17546,24908,31761,1.52,6.81,2.86,7.89,3.02,59.82,1259,10.88,1,943,0,0,7.32,50.87,24.9,691.9,5.87,0,0,14,46,170,9,0
Clearlakecity,CA,11804,2.28,0,16600,49.6,23.99,9679,7842,9129,5860,22.15,38.79,12.8,17.75,2.8,55.79,373,1.61,0.19,323,6,25,3.16,58.06,10.7,1101.9,0.57,1,18,191,461,598,76,13
Fremontcity,OH,17648,2.65,0,25385,30.83,16.11,11766,8166,2673,7666,14.66,26.83,10.08,13.26,3.19,70.3,229,5.24,1.03,266,8,0,1.3,80.84,6.4,2753.9,0.53,0,16,41,148,753,43,7
Midlandcity,MI,37819,2.57,0,39087,23.69,17.36,19367,20207,20983,15115,9.26,11.52,4.97,8.53,3.02,64.04,1680,25.83,0.4,370,17,0,4.44,66.69,28.2,1341.7,0.29,0,10,46,110,945,32,6
Lebanoncity,OH,10453,2.62,0,27095,24.81,16.84,12614,8284,13034,2993,8.65,25,1.93,13.33,3.04,69.82,84,0,0.25,333,0,0,0.8,75.12,9.6,1087.9,0.14,0,9,17,118,410,23,1
Pariscity,TX,24699,2.52,0,18743,37.27,16.49,11365,5690,5264,10583,25.43,34.74,8.5,13.34,3.03,69.1,334,34.43,0.46,261,7,0,1.35,78.5,28.2,876.6,0,3,42,380,552,1725,140,14
Hawthorneborough,NJ,17084,2.5,100,43109,34.1,17.26,19284,109500,13815,24850,3.42,22.97,3.95,7.51,3.03,60,1837,7.46,2.28,667,0,0,10.75,71.59,3.5,4854.5,3.69,0,5,4,84,282,23,0
DeSotocity,TX,30544,2.84,100,45550,12.28,10.73,18964,14642,28987,12879,3.98,12,4.11,10.56,3.17,80.39,877,5.59,0.64,428,0,0,2.86,67.07,22.4,1365.5,0.78,0,33,56,411,1100,162,9
Raritantownship,NJ,15616,2.83,0,61524,14.7,10.99,24568,36042,18511,13756,2.31,10.04,2.46,7.12,3.15,64.99,938,18.02,0.34,742,19,0,6.01,54.63,39.2,398.2,1.55,0,1,7,49,296,13,0
