title,award_class,award_category,name
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Arthur B. Krim
NA,Special,HONORARY AWARD,NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Dr. Jules C. Stein
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Mervyn LeRoy
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Pandro S. Berman
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Charlton Heston
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Walter Mirisch
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class I),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class II),NA
NA,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Leo Jaffe
NA,Special,HONORARY AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Robert Benjamin
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Ray Stark
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Danny Kaye
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Albert R. Broccoli
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Walter Mirisch
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,M. J. Frankovich
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,David L. Wolper
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Charles 'Buddy' Rogers
NA,Special,HONORARY AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Steven Spielberg
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Billy Wilder
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Howard W. Koch
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,David Brown and Richard D. Zanuck
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,George Lucas
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Audrey Hepburn
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Elizabeth Taylor
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Paul Newman
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Quincy Jones
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Clint Eastwood
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Saul Zaentz
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Norman Jewison
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Warren Beatty
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Dino De Laurentiis
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Arthur Hiller
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Roger Mayer
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Sherry Lansing
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Jerry Lewis
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,John Calley
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Francis Ford Coppola
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Oprah Winfrey
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Jeffrey Katzenberg
NA,Special,HONORARY AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Angelina Jolie
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Harry Belafonte
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,AWARD OF COMMENDATION,NA
NA,Special,JEAN HERSHOLT HUMANITARIAN AWARD,Debbie Reynolds
NA,Special,HONORARY AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Special Award),NA
NA,Special,HONORARY AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,HONORARY AWARD,NA
NA,Special,GORDON E. SAWYER AWARD,NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,HONORARY AWARD,NA
NA,Special,IRVING G. THALBERG MEMORIAL AWARD,Kathleen Kennedy and Frank Marshall
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),NA
NA,SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),NA
NA,Special,JOHN A. BONNER MEDAL OF COMMENDATION,NA
