gemeinde,staat,bevoelkerung,bevoelkerung_dichte,haushalt_groesse,median_einkommen,prozent_pension,prozent_armut,prozent_arbeitslos,prozent_metro,verbrechen,haeufigkeit
Colleyvillecity,TX,12724,937,3.11,77530,12.08,1.25,3.12,0.27,murders,0
Pittsburgcity,CA,47564,4222.7,3.04,38532,14.42,10.79,7,4.53,murders,2
MissionViejocity,CA,72820,4027.7,2.89,61058,13.66,1.96,2.9,0.62,murders,3
LongBeachcity,CA,429433,8287.7,2.7,31938,13.73,16.82,6.54,6.3,murders,126
Coronacity,CA,76095,2579.1,3.18,43555,11.97,8.31,5.76,0.73,murders,1
Beverlycity,MA,38195,2388,2.58,39603,17.89,6.62,5.42,5.14,murders,0
Geneseetownship,MI,24093,791.2,2.74,30160,24.08,13.77,11.36,0.51,murders,2
SanBrunocity,CA,38961,5846.5,2.66,42019,15.36,4.77,4.12,6.3,murders,0
PortLavacacity,TX,10886,1642.4,2.88,21946,14.01,20.44,9.97,0.24,murders,0
Alicecity,TX,19788,1631.1,3.11,18962,10.69,28.5,9.97,0.24,murders,0
Coronadocity,CA,26540,3324.1,3.62,47790,25.71,4.07,1.71,6.26,murders,3
LaPalmacity,CA,15392,8169.9,3.2,54364,12.34,5.89,2.5,0.67,murders,1
Dinubacity,CA,12743,4583.8,3.41,22032,12.07,22.58,14.95,0,murders,0
Bernardstownship,NJ,17199,691.9,2.71,70000,13.47,1.52,2.86,5.87,murders,0
Clearlakecity,CA,11804,1101.9,2.28,16600,23.99,22.15,12.8,0.57,murders,1
Fremontcity,OH,17648,2753.9,2.65,25385,16.11,14.66,10.08,0.53,murders,0
Midlandcity,MI,37819,1341.7,2.57,39087,17.36,9.26,4.97,0.29,murders,0
Lebanoncity,OH,10453,1087.9,2.62,27095,16.84,8.65,1.93,0.14,murders,0
Pariscity,TX,24699,876.6,2.52,18743,16.49,25.43,8.5,0,murders,3
Hawthorneborough,NJ,17084,4854.5,2.5,43109,17.26,3.42,3.95,3.69,murders,0
DeSotocity,TX,30544,1365.5,2.84,45550,10.73,3.98,4.11,0.78,murders,0
Raritantownship,NJ,15616,398.2,2.83,61524,10.99,2.31,2.46,1.55,murders,0
TraverseCitycity,MI,15116,1838.9,2.45,27373,16.77,8.7,4.19,0.83,murders,0
Rockwallcity,TX,10486,690.4,2.69,44130,13.46,7.64,4.58,0.56,murders,0
LowerAllentownship,PA,15254,1431.1,2.6,37461,26.81,3.65,2.17,1.1,murders,0
Willingborotownship,NJ,36291,4547.1,3.29,47121,25.01,4.47,5.61,4.94,murders,1
RidgefieldParkvillage,NJ,12454,6943.6,2.51,42464,13.84,5.1,4.59,12.87,murders,0
Emmetttownship,MI,10764,322.2,2.62,30200,18.77,11.94,8.18,0,murders,1
Hinghamtown,MA,19821,851.4,2.87,60274,17.1,2.64,5.9,9.33,murders,0
Butlertownship,PA,17625,788.6,2.58,31503,26.6,7.56,5.17,0.26,murders,0
Lindencity,NJ,36701,3278.7,2.55,35911,20.49,5.63,6.69,5.81,murders,1
Kalamazoocity,MI,80277,3153.6,2.73,23207,13.75,26.23,9.17,2.49,murders,8
Westfieldtown,NJ,28870,4138.5,2.81,66760,15.18,1.79,2.99,11.58,murders,0
GrandTerracecity,CA,10946,3047.3,2.84,45127,16.48,3.64,4.24,0.66,murders,0
Carsoncity,CA,83995,4303,3.53,43882,17.22,6.95,7.17,2.42,murders,10
Berkeleytownship,NJ,37319,839.6,2.12,23028,45.51,4.57,7.32,1.92,murders,0
Hilliardcity,OH,11796,1320.6,2.81,36415,12.91,4.18,4.05,0.51,murders,0
Greenfieldtown,MA,18666,829.1,2.43,26680,17.95,11.93,5.91,0.74,murders,0
Lomitacity,CA,19382,9868.6,2.46,36222,14.17,10.68,4.7,2,murders,0
RedondoBeachcity,CA,60167,9250.8,2.25,51913,10.17,5.59,3.38,1.41,murders,4
Mariettacity,OH,15026,1885,2.53,20950,19.38,17.68,6.82,0.95,murders,1
LaPuentecity,CA,36955,10219.9,4.1,33273,11.83,14.02,9.23,5.22,murders,8
WalnutCreekcity,CA,60569,3028.4,2.14,45529,23.06,3.81,3.27,12.57,murders,1
UpperDarbytownship,PA,81177,9963.3,2.48,32356,19.91,6.99,4.78,15.22,murders,2
Hollistercity,CA,19212,3283,3.26,32857,13.51,11.71,10.99,0.28,murders,0
SaddleBrooktownship,NJ,13296,4712.2,2.72,46082,19.05,3.77,5.56,4.4,murders,0
Quincycity,MA,84985,4887.1,2.38,35858,19.09,6.82,6.92,18.15,murders,2
YubaCitycity,CA,27437,3832,2.59,23491,17.12,18.56,11,0.25,murders,2
Denvilletownship,NJ,13812,1101.5,2.83,59724,18.09,2.06,2.73,3.73,murders,0
Perriscity,CA,21460,697.7,3.19,28611,14.71,15.73,9.73,0.51,murders,5
Lakewoodcity,OH,59718,10393,2.21,28791,14.95,8.5,4.87,10.17,murders,0
Zanesvillecity,OH,26778,2482.6,2.48,17658,19.11,25.86,13.05,1.28,murders,3
Muhlenbergtownship,PA,12636,1047.1,2.51,32979,27.59,5.71,3.05,0.75,murders,1
RiverEdgeborough,NJ,10603,5428.5,2.6,52126,21.48,2.38,2.93,16.12,murders,0
MorenoValleycity,CA,118779,2333.6,3.4,42186,13.92,8.36,7.31,0.91,murders,12
Ramseyborough,NJ,13228,2304.4,2.84,65590,13.94,2.46,3.75,8.34,murders,1
CopperasCovecity,TX,24079,2479.3,2.98,24596,21.81,11.97,7.81,0.16,murders,0
Ketteringcity,OH,60569,3134.5,2.32,34506,22.5,4.17,3.09,1.84,murders,0
Dumontborough,NJ,17187,8359.4,2.78,48776,19.15,3.26,4.09,10.52,murders,0
Novicity,MI,32998,1046,2.6,47518,13.19,3.26,3.9,0.24,murders,1
Xeniacity,OH,24664,2657.8,2.73,25508,18.56,15.49,7.43,0.32,murders,3
Troycity,OH,19478,2189.3,2.55,29032,18.56,9.83,4.52,0.55,murders,1
Melrosecity,MA,28150,5784.6,2.57,44109,19.44,4.23,4.8,15.95,murders,0
Paradisetown,CA,25408,1315.7,2.3,22954,30.05,11.13,7.48,0.57,murders,0
Nilescity,MI,12456,2336.1,2.41,23700,17.29,13.67,5.19,0.64,murders,0
AgouraHillscity,CA,20390,2410.2,3.08,70919,6.73,3.53,3.61,0.62,murders,0
Greenvillecity,TX,23071,936.9,2.64,25075,14.1,16.85,6.29,0.29,murders,2
Burlingamecity,CA,26801,5955.8,2.17,42487,16.3,4.69,2.8,7.7,murders,1
Haddontownship,NJ,14837,5324,2.38,36215,22.77,3.75,2.28,11.79,murders,1
Burkburnettcity,TX,10145,1028.9,2.69,25943,21.07,13.93,8.04,0,murders,0
Harrisburgcity,PA,52376,6234.9,2.43,20329,17.42,27.02,10.31,12.67,murders,13
Lancastercity,TX,22117,732.4,2.87,31489,11.09,10.06,5.42,0.52,murders,2
Lodiborough,NJ,22355,9533.9,2.49,33311,15.38,6.12,7.04,6.03,murders,0
Detroitcity,MI,1027974,7153,2.75,18742,17.52,32.41,19.67,10.57,murders,579
Visaliacity,CA,75636,3107.5,2.9,29463,13.18,17.62,6.83,0.8,murders,3
Oxfordtown,MA,12588,456.3,2.8,36682,13.85,4.51,6.67,0.55,murders,0
Andrewscity,TX,10678,2163.3,2.98,26136,14.51,16.11,7.12,0,murders,0
Seguincity,TX,18853,1534.3,2.97,19970,15.84,27.8,8.74,0,murders,2
Hawthornecity,CA,71349,11605.2,2.63,30967,9.61,13.92,6.89,5.13,murders,12
Pennsvilletownship,NJ,13794,576.4,2.6,38025,22.84,6.1,3.62,1.1,murders,1
Melvindalecity,MI,11216,3905.3,2.4,26179,22.55,12.12,8,1.63,murders,0
SanJacintocity,CA,16210,1477.4,2.69,20810,21.93,15.96,8.24,0.48,murders,1
Sacramentocity,CA,369365,3702.5,2.56,28183,16.66,17.21,7.6,4.1,murders,85
Scrantoncity,PA,81805,3131.4,2.51,21060,20.07,15.22,6.55,3.02,murders,2
Centertownship,PA,10742,673.2,2.77,34978,27.37,4.07,4.72,0.33,murders,0
CityofOrangetownship,NJ,29925,13083.7,2.58,27301,14.13,17.8,9.74,19.92,murders,3
SouthGatecity,CA,86284,11329.3,3.85,27279,11.36,17.44,10.81,8.02,murders,11
FortWorthcity,TX,447619,1537.2,2.66,26547,13.58,17.42,7.43,1.65,murders,133
Oceantownship,NJ,25058,2190.2,2.71,46885,15.48,3.2,4.61,3.56,murders,0
Harvardtown,MA,12329,451.5,4.14,47299,6.89,3.88,1.66,13.49,murders,0
NewportBeachcity,CA,66643,4589.7,2.16,60374,12.76,5.67,3.01,0.95,murders,3
Martinezcity,CA,31808,2740.2,2.54,45964,14.69,5.95,4.07,6.08,murders,0
Montclairtownship,NJ,37729,5776.7,2.6,52442,15.01,6.03,5.41,19.72,murders,0
Hollandcity,MI,25086,2853.3,2.99,30469,14.16,12.82,5.32,0.66,murders,1
UpperArlingtoncity,OH,34128,3421.8,2.45,53140,22.18,1.38,1.87,1.7,murders,0
Glendoracity,CA,47828,2371.5,2.93,46116,14.14,4.96,4.3,1.39,murders,0
Sumptertownship,MI,10891,279.8,2.95,34929,15.87,7.64,9.78,0,murders,0
Bellinghamtown,MA,14877,776.3,2.95,45397,13.43,3.42,6.41,2.13,murders,0
MountOlivetownship,NJ,21282,674.7,2.67,45828,9.28,2.77,3.64,1.23,murders,0
Hanoverborough,PA,14399,3807.6,2.28,24947,15.07,8.35,3.35,0.51,murders,2
Westlakecity,OH,27018,1640.4,2.63,47629,16.74,2.07,3.03,2.97,murders,0
Massilloncity,OH,31007,2268.2,2.56,23819,23.02,14.44,8.98,0.21,murders,2
Roxburytownship,NJ,20429,923.4,3.14,57484,16.18,2.29,3.25,1.78,murders,0
Artesiacity,CA,15464,9248.8,3.52,36383,13.28,9.28,6.62,1.17,murders,3
Urbanacity,OH,11353,1775,2.52,26684,19.18,11.61,7.28,1.03,murders,0
Highlandcity,CA,34439,2450.1,3.04,31561,17.72,15.79,8.66,1,murders,4
Southgatecity,MI,30771,4331.5,2.54,36526,21.39,4.62,6.09,0.96,murders,0
Moorestowntownship,NJ,16116,1053.1,2.76,54834,18.22,2.91,3.03,2.89,murders,0
Rialtocity,CA,72388,3288.6,3.31,36233,15.13,12.12,8.12,0.82,murders,10
Irvingtontownship,NJ,61018,19984.9,2.75,30529,10.7,12.38,9.91,19.9,murders,10
Hobokencity,NJ,33397,25331.5,2.22,34873,8.5,16.39,6.16,52.59,murders,2
Harlingencity,TX,48735,1747,3.17,20858,13.71,29.93,9.65,0.14,murders,6
Clintontown,MA,13222,2237.7,2.49,34091,13.31,7.48,5.35,0.05,murders,1
Sayrevilleborough,NJ,34986,2092.8,2.74,46057,19.82,3.1,4.04,8.87,murders,0
Winchestertown,MA,20267,3239.4,2.78,65994,17.26,2.63,3.64,8.84,murders,0
Bellmawrborough,NJ,12603,4012.2,2.69,34887,20.87,4.34,5.28,4.26,murders,0
Lodicity,CA,51874,4722.7,2.73,30739,16.86,12.6,6.45,0.1,murders,2
Stoughtontown,MA,26777,1611.4,2.85,42044,15.91,4.78,5.81,5.98,murders,0
Holmdeltownship,NJ,11532,621.3,3.42,83975,13.57,1.77,2.67,10.6,murders,0
NorthPlainfieldborough,NJ,18820,6512.1,2.56,41875,14.09,3.66,3.76,5.04,murders,0
Yeadonborough,PA,11980,7175.4,2.5,35951,20.4,5.47,5.26,23.44,murders,0
SanFranciscocity,CA,723959,14962.8,2.37,33414,14.37,12.66,6.2,34.88,murders,129
Covinacity,CA,43207,6041.2,2.78,38907,13.04,7.63,5.35,2.84,murders,10
SantaFeSpringscity,CA,15520,1728.3,3.33,33313,18.86,10.57,8.61,2.65,murders,3
Farmingtoncity,MI,10132,3665.7,2.17,41040,27.02,3.64,4.82,0.93,murders,0
Winslowtownship,NJ,30087,503.3,3.09,39916,12.71,7.35,5.37,6.02,murders,1
SantaMonicacity,CA,86905,10143,1.94,35997,10.37,9.35,4.81,5.41,murders,9
Eriecity,PA,108718,4772.8,2.58,22032,19.63,19.3,8.85,3.82,murders,7
GrandRapidscity,MI,189126,4124.7,2.74,26809,14.2,16.12,7.35,3.39,murders,33
VanWertcity,OH,10891,2102,2.48,25324,18.49,8.92,5.73,0.2,murders,0
NortonShorescity,MI,21755,903.4,2.62,33646,22.59,7.23,5.11,0.2,murders,0
Vermilioncity,OH,11127,1004.2,2.8,37500,20.14,8.54,4.74,0.13,murders,0
Westervillecity,OH,29092,3417.4,2.96,48137,15.36,2.75,2.55,0.69,murders,0
NorthAdamscity,MA,16797,793.1,2.54,22100,20.49,14.33,9.86,1.84,murders,0
Wallingtonborough,NJ,10828,10395.5,2.32,32332,18.68,5.18,8.03,6.53,murders,0
GalenaParkcity,TX,10033,1941.4,3.27,24103,18.21,19.42,8.29,0.9,murders,0
Leicestertown,MA,10191,421,2.95,40321,14.58,4.1,5.55,1.1,murders,1
Alamedacity,CA,76459,6865.9,2.63,38122,17.14,6.81,3.53,14.46,murders,1
Fairfieldcity,OH,39729,1840.1,2.6,38531,12.76,3.77,3.66,0.54,murders,2
Millbraecity,CA,20412,6133.4,2.57,45999,21.98,5.4,3.19,5.08,murders,1
Lancastercity,PA,55551,7270.3,2.62,22210,15.54,20.93,6.47,5.48,murders,11
Ashlandtown,MA,12066,935.8,2.62,51173,12.76,1.92,5.21,3.31,murders,0
Richlandtownship,PA,12777,631.1,2.79,27154,27.62,7.54,5.82,0.86,murders,0
Arcadiacity,CA,48290,4284.1,2.63,47347,16.73,5.23,3.63,1.76,murders,2
Miltontown,MA,25725,1904.3,2.94,53130,23.5,3.04,4.52,10.43,murders,0
Indiocity,CA,36793,2084.8,3.42,25976,12.22,21.24,9.83,1.14,murders,13
ForestParkcity,OH,18609,2834.7,2.84,37050,13.5,5.55,5.23,3.79,murders,1
Cranfordtownship,NJ,22633,4533.9,2.77,54469,19.72,2.51,2.57,8.46,murders,0
Banningcity,CA,20570,1077,2.77,22514,24.93,16.86,10.81,0.44,murders,5
LosBanoscity,CA,14519,2007.6,3.04,24649,12.31,19.4,10.21,0,murders,0
Romuluscity,MI,22897,615.4,2.92,31723,13.44,12.94,9.6,0.14,murders,3
Beniciacity,CA,24437,1844.6,2.65,49660,17.6,5.43,4.19,3.11,murders,0
Medfordtownship,NJ,20526,503.9,3,59834,15.02,2.3,4.36,2.02,murders,2
MineralWellscity,TX,14870,705.5,2.73,19456,16.38,23.17,9.68,0.69,murders,1
Alhambracity,CA,82106,10393.2,2.91,31368,11.72,14.75,6.05,5.99,murders,3
Millburntownship,NJ,18630,1915.8,2.7,83275,15.57,1.94,2.25,17.53,murders,0
Pepperelltown,MA,10098,432.1,2.98,44492,8.49,3.98,5.47,0.59,murders,1
EastBrunswicktownship,NJ,43548,1910.5,2.92,58769,15.05,2.27,3.86,10,murders,0
MountainViewcity,CA,67460,5410.7,2.25,42431,11.34,6.22,3.17,4.19,murders,2
Athenscity,TX,10967,768.4,2.62,18870,13.81,21.95,9,0,murders,1
LincolnParkcity,MI,41832,6903,2.57,30638,23.56,8.53,7.78,1.21,murders,5
Ypsilanticity,MI,24846,5501.8,2.91,21219,10.17,29.47,7.5,3.53,murders,4
Braintreetown,MA,33836,2351.7,2.84,44734,23.45,4.1,6.7,7.87,murders,0
Dovercity,OH,11329,2301.7,2.56,27688,19.41,7.46,6.74,0.3,murders,0
Elizabethcity,NJ,110002,8617.3,2.81,27631,13.14,16.12,9.91,10.61,murders,17
Patersoncity,NJ,140891,16110.7,3.21,26960,11.16,18.54,11.04,10.55,murders,23
SomersPointcity,NJ,11216,2685.8,2.37,31793,16.18,6.25,3.44,2.89,murders,1
Orindacity,CA,16642,1275.8,2.64,80968,18.61,2.36,2.98,11.77,murders,0
Fontanacity,CA,87535,2372,3.32,35558,12.96,11.4,7.37,0.6,murders,14
AuburnHillscity,MI,17076,992.3,2.65,34825,10.8,7.38,4.18,0.31,murders,0
HasbrouckHeightsborough,NJ,11488,7345.3,2.63,44672,19.09,2.51,4.58,9.64,murders,0
Marlboroughcity,MA,31813,1456.1,2.62,41315,13.75,5.65,6.16,0.65,murders,0
Stantoncity,CA,30491,9422.4,2.96,33367,12.85,13.62,8.43,3.65,murders,4
Florencetownship,NJ,10266,1020.1,2.72,37764,19.71,6.77,4.46,0.26,murders,0
Marquettecity,MI,21977,1859.9,2.77,24365,15.71,16.57,7.2,0.91,murders,0
Miamitownship,OH,28199,819.5,2.95,42530,11.83,4.3,3.02,0.98,murders,1
Reedleycity,CA,15791,3912.5,3.42,24128,12.15,22.42,15.46,0.91,murders,2
MapleShadetownship,NJ,19211,4818.2,2.27,32955,16.44,2.77,4.89,4.13,murders,0
Huntsvillecity,TX,27925,1285.9,3.56,17876,11.04,30,8.13,0.21,murders,7
Vidorcity,TX,10935,999.5,2.78,24568,13.69,15.12,6.4,0,murders,2
SanMarinocity,CA,12959,3322.8,3.01,100077,14.37,3.88,2.81,0.99,murders,0
Inglewoodcity,CA,109602,11537.1,3.04,29881,10.45,16.47,10,7.5,murders,45
Nilescity,OH,21128,2404.8,2.5,25547,19.77,12.66,7.01,0.34,murders,0
SouthPasadenacity,CA,23936,6731.2,2.34,43043,10.13,5,2.55,1.71,murders,0
Piscatawaytownship,NJ,47089,2419.6,3.36,50451,12.04,2.88,4.6,5.88,murders,0
Everettcity,MA,35701,10186.3,2.46,30786,18.34,9.6,7.59,17.59,murders,1
Hudsontown,MA,17233,1445.6,2.71,45191,13.53,3.61,5.46,0.6,murders,0
BethelParkborough,PA,33823,2793.2,2.66,41149,20.65,3.81,3.78,11.79,murders,0
Amesburytown,MA,14997,1166.8,2.72,37889,16.18,6.25,8.27,0.84,murders,0
Uxbridgetown,MA,10415,340.2,2.76,40059,16.88,5.87,6.65,0.26,murders,0
Northboroughtown,MA,11929,621.2,2.94,57963,10.85,2.82,4.57,0.61,murders,0
Springdalecity,OH,10621,2081.4,2.51,38128,17.85,4.01,3.59,1.17,murders,0
PalosVerdesEstatescity,CA,13512,2713.3,2.73,101320,18.7,2.25,3.56,0.88,murders,0
Williamsportcity,PA,31933,3468.4,2.54,20290,15.79,21.12,9.51,5.42,murders,2
Coppellcity,TX,16881,1106.5,2.81,58815,5.5,2.51,2.28,0.72,murders,2
GrossePointeWoodscity,MI,17715,5241.1,2.7,55657,22.76,1.74,2.21,1.73,murders,0
Pomonacity,CA,131723,5570.2,3.61,32132,11.02,18.43,9.08,3.24,murders,40
GreenOaktownship,MI,11604,322.8,2.98,47421,16.27,2.87,4.31,0,murders,0
Eastontown,MA,19807,672.2,3.08,50647,12.92,4,4.71,3.26,murders,0
Beltoncity,TX,12476,1118.3,2.96,18549,16.99,25.98,8.72,0.24,murders,0
Lakewoodtownship,NJ,45048,1751.5,2.75,29211,20.68,16.09,7.29,3.9,murders,3
GroveCitycity,OH,19661,1879.5,2.66,34350,18.52,5.82,3.23,1.69,murders,0
Pennsaukentownship,NJ,34738,3181.5,2.8,36097,18.78,5.46,4.26,5.23,murders,2
Perrysburgcity,OH,12551,2599.8,2.61,44277,18.46,2.12,3.98,1.52,murders,0
Veronatownship,NJ,13597,4770.2,2.47,55248,19.75,1.73,2.54,6.56,murders,0
