preis,schlafzimmer,badezimmer,qf_wohnraum,qf_parzelle,stoecke,ufer,qf_dachstock,qf_keller,baujahr,postleitzahl
505000,3,1.75,2519,8690,2,0,2519,0,1973,98166
549000,3,1.75,1540,1044,3,0,1540,0,2014,98115
425000,3,2.25,1660,6000,1,0,1110,550,1979,98122
317625,3,2.75,2770,3809,1.5,0,1770,1000,1925,98144
975000,4,2.5,2720,11049,2,0,2720,0,1989,98004
287000,4,2.5,2240,4648,2,0,2240,0,2005,98001
204000,3,1,1000,12070,1,0,1000,0,1968,98042
1325000,5,2.25,3200,20158,1,0,1600,1600,1965,98004
1040000,5,3.25,4770,50094,1,0,3070,1700,1973,98005
325000,3,2,1260,5612,1,0,1260,0,1972,98034
571000,4,2,2750,7807,1.5,0,2250,500,1916,98125
360000,4,2.5,2380,5000,2,0,2380,0,2005,98038
349000,3,1.75,1790,50529,1,0,1090,700,1965,98042
832500,4,4,3430,35102,2,0,2390,1040,1986,98075
380000,4,1.75,1760,7300,1,0,880,880,1956,98008
480000,3,1,1040,5060,1,0,1040,0,1941,98116
410000,3,1,1410,5060,1,0,910,500,1956,98133
720000,4,2.5,3450,39683,2,0,3450,0,2002,98010
390000,3,2.5,2350,5100,2,0,2350,0,2003,98038
360000,4,2.5,1900,5889,2,0,1900,0,1992,98038
355000,2,1,2020,6720,1,0,1010,1010,1948,98118
356000,3,1.5,1680,8712,1,0,1680,0,1964,98059
315000,3,1,960,6634,1,0,960,0,1952,98125
940000,3,1.5,2140,3600,2,0,1900,240,1925,98119
305000,5,2.25,2660,8400,1.5,0,2660,0,1961,98092
461000,3,3.25,2770,6278,2,0,1980,790,2006,98056
215000,2,2.25,1610,2040,2,0,1610,0,1979,98056
335000,2,1.75,1030,1066,2,0,765,265,2006,98136
243500,4,2.5,1980,7403,2,0,1980,0,1988,98023
1099880,5,2.75,3520,6353,2,0,3520,0,2001,98199
153000,3,1,1200,10500,1,0,1200,0,1962,98023
430000,3,1.5,1580,5000,1,0,1290,290,1939,98117
700000,3,1.5,1580,5000,1,0,1290,290,1939,98117
905000,4,2.5,3300,10250,1,0,2390,910,1946,98040
247500,3,1.75,1960,15681,1,0,1960,0,1967,98032
199000,4,1.5,1160,6400,1,0,1160,0,1975,98023
314000,3,1.75,1810,41800,1,0,1210,600,1980,98038
437500,3,2.5,2320,36847,2,0,2320,0,1992,98045
850830,3,2.5,2070,13241,1.5,0,1270,800,1910,98102
555000,3,2,1980,3478,1.5,0,1440,540,1929,98117
699950,3,2.25,2190,107593,2,0,2190,0,1983,98077
1088000,3,2.5,2920,8113,2,0,2920,0,1950,98004
290000,3,1,1210,33919,1,0,1210,0,1954,98058
375000,3,2.5,2340,10005,1,0,1460,880,1978,98058
460000,3,1,1670,4005,1.5,0,1170,500,1939,98117
188500,2,1.75,1240,2493,1,0,1240,0,1985,98198
680000,4,2.5,3140,28037,2,0,3140,0,1991,98077
470000,5,1.75,2030,12342,2,0,2030,0,1942,98052
597750,4,2.5,2310,9624,2,0,2310,0,1984,98027
570000,3,1.75,1260,3328,1,0,700,560,1905,98103
272500,3,1.75,1540,12600,1,0,1160,380,1980,98038
329950,3,1.75,2080,5969,1,0,1080,1000,1971,98108
480000,4,2.5,3230,16171,2,0,2520,710,2001,98001
740500,3,3.5,4380,6350,2,0,2780,1600,1900,98117
518500,3,3.5,1590,1102,3,0,1590,0,2010,98103
205425,2,1,880,6780,1,0,880,0,1945,98178
171800,4,2,1570,9600,1,0,1570,0,1950,98168
535000,4,1,1610,2982,1.5,0,1610,0,1925,98144
660000,3,2.5,2400,6474,1,0,1560,840,1964,98177
391500,3,2,1450,9132,1,0,1450,0,1987,98034
395000,2,1,770,6000,1,0,770,0,1953,98117
445000,4,1.75,2100,4400,1.5,0,1720,380,1924,98118
770000,3,2.25,2910,10204,2,0,2910,0,1990,98052
1450000,4,2.75,2750,17789,1.5,0,1980,770,1914,98004
445000,3,2.25,2100,8201,1,0,1620,480,1967,98178
260000,4,2.25,2160,8811,1,0,1360,800,1978,98023
822500,5,3.5,2320,4960,2,0,1720,600,1926,98103
430000,4,2.5,2070,4310,2,0,2070,0,2004,98065
212000,3,1.75,1060,7875,1,0,1060,0,1986,98092
660500,4,2.25,2010,9603,1,0,1440,570,1986,98027
784000,3,3.5,3950,111078,1.5,0,2460,1490,1989,98052
453246,3,2.5,2010,2287,2,0,1390,620,2014,98029
675000,4,3.5,2140,2278,3,0,2140,0,2005,98107
199000,3,1.75,1320,17390,1,0,1320,0,1956,98003
220000,4,1.75,2020,7840,1,0,1010,1010,1968,98003
452000,4,2.25,2590,10002,1,0,1340,1250,1968,98028
382500,2,1,1190,4440,1,0,1190,0,1981,98125
519950,3,2.25,1170,1249,3,0,1170,0,2014,98107
665000,2,1,1110,3200,1,0,1110,0,1925,98119
527700,5,2.5,2820,9375,1,0,1550,1270,1968,98006
205000,3,1,1610,8579,1,0,1010,600,1962,98058
420000,3,1,1060,8097,1,0,940,120,1923,98133
500000,4,2.25,2030,8517,1,0,1380,650,1961,98006
921500,4,2.5,3670,315374,2,0,3670,0,1994,98077
890000,4,1,2550,4000,2,0,2370,180,1905,98109
430000,2,2.5,2420,60984,2,0,2420,0,2007,98027
258000,5,2,2260,12500,1,0,1130,1130,1960,98032
511000,3,1,1430,3455,1,0,980,450,1947,98103
532170,3,2,1360,3090,2,0,1360,0,1990,98103
560000,3,1,1110,5000,1.5,0,1110,0,1947,98107
282950,3,1,1250,8200,1,0,1250,0,1954,98003
2250000,4,3.25,5180,19850,2,0,3540,1640,2006,98006
350000,1,1,700,5100,1,0,700,0,1942,98115
215000,3,1,1180,7669,1,0,1180,0,1967,98058
650000,5,3.5,3960,25245,2,0,2500,1460,1996,98056
320000,4,2.75,2640,7500,1,0,1620,1020,1967,98023
247000,3,2,1270,7198,1.5,0,1270,0,1916,98022
320000,4,1.75,1760,11180,1,0,1760,0,1968,98059
255000,5,2.25,2060,8632,1,0,1030,1030,1962,98146
438000,3,1.75,1780,9660,1,0,1780,0,1962,98034
900000,3,2.5,3400,16603,2,0,3400,0,2000,98075
441000,3,2.75,1910,7280,1,0,1160,750,1979,98034
420000,3,2,2020,38332,1,0,1010,1010,1975,98027
370000,3,1.75,1580,7000,1,0,1180,400,1976,98034
269950,2,1.75,1340,7250,1,0,700,640,1949,98198
807100,4,2.5,2680,4499,2,0,2680,0,1999,98006
653000,3,2.5,2680,9750,1,0,1610,1070,1979,98034
371500,3,2,1370,8336,1,0,1370,0,1964,98133
284000,3,1.75,1560,21000,1,0,1560,0,1954,98166
272000,3,1.75,2160,7140,1,0,1670,490,1978,98023
313000,3,1.5,1340,7912,1.5,0,1340,0,1955,98133
917500,4,2.5,3880,35003,2,0,2570,1310,1984,98033
673000,4,2.25,2590,8190,2,0,2590,0,1980,98006
425000,3,2.5,1120,1100,2,0,820,300,2008,98122
399950,5,2.75,1970,5400,1,0,1320,650,1986,98144
385000,3,1,1220,4800,1,0,1220,0,1901,98122
269950,3,1.5,1950,7560,1,0,1320,630,1975,98022
330000,2,1,1350,8220,1,0,1060,290,1949,98177
260000,3,2.5,1670,5797,2,0,1670,0,1988,98030
470000,4,3,2380,5125,1.5,0,1680,700,1925,98126
589000,4,3,2440,9600,2,0,2440,0,1961,98034
163500,2,1.5,1050,3419,2,0,1050,0,1996,98038
835000,4,2.75,3130,13412,2,0,2140,990,1993,98052
1095000,5,3,4090,12850,1,0,2090,2000,1986,98033
269000,4,1.75,1490,10000,1,0,1100,390,1969,98023
560000,3,2.5,1900,8744,2,0,1900,0,1987,98074
615000,4,1,1330,2400,1.5,0,1330,0,1901,98103
585188,3,2.25,2230,10026,1,0,1430,800,1975,98052
305000,3,1.75,1650,9480,1,0,1220,430,1977,98034
166950,3,1,1190,8820,1,0,1190,0,1959,98058
799000,3,2.5,2140,9897,1,0,2140,0,1959,98040
400000,3,2.5,2180,7508,1,0,1420,760,1962,98133
230000,3,1,1060,10228,1,0,1060,0,1948,98155
256883,3,2.5,1690,5025,2,0,1690,0,2003,98023
423000,4,2,1970,6480,1.5,0,1130,840,1920,98108
465000,3,2.5,2150,4084,2,0,2150,0,2007,98126
440000,3,2.5,1910,66211,2,0,1910,0,1997,98024
385000,3,1.75,1350,155073,1,0,1350,0,1969,98038
210000,3,1,860,11725,1,0,860,0,1943,98056
297000,3,2.5,1940,14952,2,0,1940,0,1994,98042
470000,3,1,1010,5000,1,0,1010,0,1952,98107
226500,3,1.5,1300,7370,1,0,900,400,1976,98023
274250,3,1,910,8450,1,0,910,0,1962,98059
840000,4,1.75,2480,11010,1,0,1630,850,1966,98040
677900,3,2.5,2440,4587,2,0,2440,0,2010,98052
425000,3,1,1010,5864,1,0,1010,0,1915,98116
180250,2,0.75,900,9600,1,0,900,0,1941,98166
464000,6,3,2300,3404,2,0,1600,700,1920,98133
320000,4,2.25,1550,7579,2,0,1550,0,1993,98038
625504,3,2.25,1270,1566,2,0,1060,210,2014,98105
592500,4,2.5,2240,12032,1,0,2240,0,1983,98074
465000,3,2.5,2714,17936,2,0,2714,0,2005,98001
477000,4,2.75,1720,6270,2,0,1720,0,1978,98118
280000,2,1,850,16400,1,0,850,0,1923,98168
1505000,5,3,3300,33474,1,0,1870,1430,1957,98040
445838,3,2.5,2250,5692,2,0,2250,0,2000,98146
1072000,2,2.25,3900,14864,1,0,1950,1950,1947,98144
467000,2,1.5,1320,10800,1,0,1320,0,1947,98177
686000,4,2.5,2760,6440,2,0,2760,0,1999,98075
279950,3,2,1750,9750,1,0,1350,400,1961,98198
527000,4,2.25,2330,19436,2,0,2330,0,1987,98011
325000,3,2.25,2220,16020,1,0,1780,440,1966,98030
328000,3,2.25,2020,8379,2,0,2020,0,1994,98038
390000,3,2.25,1250,7500,1,0,1250,0,1942,98146
479950,2,2,1510,6516,1,0,1510,0,2005,98053
264950,4,2.25,1720,9753,1,0,1120,600,1978,98023
235000,3,1,1430,15246,1,0,980,450,1961,98031
516500,3,2.5,1480,4729,2,0,1480,0,2004,98053
655000,2,1.75,1450,15798,2,1,1230,220,1915,98166
500000,4,2.75,2280,15347,1,0,2280,0,1960,98059
315000,6,2.75,2940,7350,1,0,1780,1160,1978,98023
213000,2,1,1000,10200,1,0,1000,0,1961,98024
475000,3,1.5,2480,5280,1.5,0,1620,860,1947,98108
1025000,5,4,3760,28040,2,0,3760,0,1983,98033
416000,3,2,2220,94300,1,0,1640,580,1976,98010
410000,4,1,1970,4740,1.5,0,1670,300,1904,98122
800000,3,3.5,3830,221284,2,0,3530,300,1993,98077
472000,6,2.5,4410,14034,1,0,2350,2060,1965,98003
225000,3,1.75,1430,8505,1,0,1430,0,1968,98003
210000,2,1,830,6000,1,0,830,0,1940,98126
455000,2,1,1430,5000,1.5,0,1430,0,1925,98115
225000,3,1,1300,8316,1,0,1300,0,1954,98002
480000,2,1,1030,3060,1,0,790,240,1918,98103
363000,3,2.5,2740,11872,2,0,2740,0,1990,98023
2400000,4,2.5,3650,8354,1,1,1830,1820,2000,98074
181000,2,1.5,720,5120,1,0,720,0,1954,98106
250000,4,2,2010,7312,1,0,2010,0,1976,98002
481000,3,1.75,1560,3000,1,0,770,790,1918,98103
260000,3,2,1810,7209,1,0,1240,570,1978,98032
455000,4,2.5,3360,7685,2,0,3360,0,2001,98058
415000,3,2.25,1510,36224,2,0,1510,0,1991,98045
349500,3,1,1400,3538,1,0,800,600,1953,98118
245000,3,2.5,1730,7442,2,0,1730,0,1987,98030
592500,2,2,1420,9191,1.5,0,1420,0,1928,98115
385000,4,1.75,2360,7620,1,0,1180,1180,1955,98106
315000,3,1.75,1580,11455,1,0,1200,380,1974,98059
255000,3,1,1230,10170,1,0,1230,0,1979,98045
693000,4,2.5,2460,4425,2,0,2460,0,2006,98052
780000,3,1,1660,4400,1.5,0,1460,200,1911,98112
237000,3,1.75,1270,8470,1,0,1270,0,1960,98198
525000,3,2.25,2100,40510,2,0,1320,780,1979,98074
425000,2,1,770,5040,1,0,770,0,1930,98144
369900,1,0.75,760,10079,1,1,760,0,1936,98070
290000,4,2.5,1700,7280,2,0,1700,0,1988,98031
285000,3,1,1120,10701,1,0,1120,0,1954,98106
415000,2,1,1070,4500,1,0,1070,0,1937,98115
272500,3,2.5,2070,9900,1,0,1420,650,1979,98023
2900000,4,3.25,5050,20100,1.5,0,4750,300,1982,98004
1365000,4,4.75,5310,57346,2,0,5310,0,1989,98077
436000,2,1,1040,7538,1,0,1040,0,1939,98133
210000,3,1,1700,11390,1,0,1700,0,1967,98003
236000,3,1,1300,5898,1,0,1300,0,1961,98178
331000,3,1.75,1080,1306,1,0,580,500,1954,98199
365000,3,2.5,2653,4510,2,0,2653,0,2006,98031
450000,3,2,2290,16258,1,0,2290,0,1960,98058
770000,4,2.75,3820,26300,2,0,2850,970,2014,98028
455000,4,2.5,2210,49375,1,0,2210,0,1997,98038
405000,3,1.75,2390,6000,1,0,1240,1150,1908,98118
304900,4,1.75,2600,11325,1,0,1610,990,1969,98031
170000,2,1,860,5265,1,0,860,0,1931,98178
2050000,5,3,3830,8480,2,0,2630,1200,1905,98122
780000,4,2.5,3500,7048,2,0,3500,0,2005,98053
330000,3,3,2420,13959,1,0,1740,680,1988,98028
370000,4,2.5,2720,8666,2,0,2720,0,1992,98030
467000,5,2.25,2500,13500,1,0,1850,650,1979,98072
405000,3,1.75,1670,6720,1,0,1140,530,1980,98034
675000,5,2.25,2900,10300,1,0,1450,1450,1985,98006
500000,2,1,1640,14100,1,0,1140,500,1954,98006
389999,4,2.5,1890,15770,2,0,1890,0,1968,98166
630000,4,1.75,2950,9025,1,0,1780,1170,1975,98034
360000,4,2.5,2160,9528,2,0,2160,0,1992,98001
580000,4,3,3280,11060,2,0,2270,1010,1986,98056
550000,3,2,1970,4166,2,0,1270,700,1929,98126
879000,4,2.5,3360,22111,2,0,3360,0,1994,98075
265000,3,2,1320,8959,1,0,1320,0,1993,98042
446500,3,2.5,2650,7286,2,0,2650,0,1990,98059
404000,3,1.5,2030,8880,1,0,1330,700,1963,98108
267500,3,1.75,1590,11914,1,0,1090,500,1957,98188
3075000,4,5,4550,18641,1,1,2600,1950,2002,98074
335000,3,2.5,2440,7632,2,0,2440,0,1998,98003
576000,3,2.5,1940,9000,1,0,970,970,1948,98117
208633,3,2.5,2040,3810,2,0,2040,0,2006,98038
315000,3,2.25,2200,8750,1,0,1120,1080,1964,98166
725000,3,1.75,1920,3300,1,0,960,960,1913,98112
550000,4,2.75,1800,7750,1,0,1400,400,1965,98177
610750,4,2.25,2180,7297,2,0,2180,0,1984,98074
550700,2,1,1010,5000,1.5,0,1010,0,1908,98105
665000,4,2.75,3320,10574,2,0,2220,1100,1960,98056
834000,4,2.5,2370,4000,1.5,0,1980,390,1928,98144
201000,5,1.75,1660,78408,1.5,0,1660,0,1915,98065
2384000,5,2.5,3650,9050,2,0,3370,280,1921,98119
1384000,4,3.25,4290,12103,1,0,2690,1600,1997,98006
1400000,4,3.25,4290,12103,1,0,2690,1600,1997,98006
305000,4,2.25,1950,7700,1,0,1350,600,1979,98058
487000,3,2,2590,14052,1,0,1720,870,1948,98133
390000,3,2.5,1930,64904,1,0,1930,0,1988,98042
548000,2,1,1470,3864,1,0,1170,300,1916,98103
268750,4,1,800,8775,1,0,800,0,1943,98166
819900,5,2.75,3150,7119,2,0,3150,0,2013,98052
520000,3,2.25,2030,16200,2,0,2030,0,1984,98027
230000,3,2,1450,11204,1,0,1450,0,2003,98001
240000,3,1.75,1510,10248,1,0,1510,0,1969,98023
232000,2,1,1240,12092,1,0,960,280,1922,98146
240500,2,1,1240,12092,1,0,960,280,1922,98146
274975,3,2.5,3030,45004,2,0,3030,0,1987,98077
740000,4,2,2050,4400,1.5,0,2050,0,1922,98102
186375,3,1,1000,7636,1,0,1000,0,1952,98166
790000,3,2.25,2370,10289,1,0,1590,780,1977,98005
880000,4,3.5,2800,6750,2,0,1890,910,1951,98105
279000,6,1.75,2240,11180,2,0,2240,0,1955,98198
295000,3,2,1810,10530,1,0,1810,0,1991,98022
640000,2,1,1070,5000,1,0,1070,0,1924,98103
940000,4,2,2490,9525,2,0,2490,0,1968,98040
260000,4,2.5,1960,5238,2,0,1960,0,2003,98038
559900,3,2.75,2930,5569,1,0,1860,1070,2004,98072
791500,4,2,1510,3500,1.5,0,1510,0,1911,98103
265000,3,1.75,1420,8250,1,0,1420,0,1954,98133
245000,3,1.75,1740,11547,1,0,1740,0,1954,98178
485000,4,1.75,2560,43995,2,0,2560,0,1962,98052
684000,4,3.5,3040,8414,2,0,2420,620,2010,98059
425000,3,1.75,2500,6840,1,0,1300,1200,1957,98125
309600,4,1.75,1275,20000,1,0,1275,0,1991,98070
552250,4,2.5,2580,5823,2,0,2580,0,2002,98065
165000,4,1,1000,7134,1,0,1000,0,1943,98178
239900,4,1,1000,7134,1,0,1000,0,1943,98178
320000,2,1,1070,32633,1,0,1070,0,1930,98059
206600,3,2,1390,13464,1,0,1390,0,1987,98030
387000,4,1.75,2500,7690,1,0,1250,1250,1973,98155
299000,1,0.75,560,12120,1,0,560,0,1967,98014
855000,4,2.75,2270,10460,2,0,2270,0,1965,98040
315000,3,1,1900,14400,1,0,1300,600,1954,98166
437500,2,1,990,3120,1,0,790,200,1907,98103
252000,4,1.5,1550,19800,1,0,1050,500,1969,98001
375000,4,1.75,2200,7475,1,0,1100,1100,1955,98118
300000,4,2.5,1910,4862,2,0,1910,0,2005,98038
420000,4,1,1750,9600,1.5,0,1750,0,1954,98006
900000,3,1,1330,77972,1,0,1330,0,1928,98033
679900,3,2.5,2440,5750,2,0,1980,460,2000,98116
463000,3,2.5,1640,29970,2,0,1640,0,1992,98053
380000,5,2.5,2760,11340,2,0,2760,0,1978,98059
329500,4,2.5,1820,7912,2,0,1820,0,1994,98038
604950,3,2.5,2110,5608,1,0,1340,770,2013,98033
795000,5,2.5,3040,9570,1,0,1640,1400,1966,98006
465000,3,2,1840,40438,2,0,1840,0,1994,98045
673000,4,2.5,2990,10400,2,0,2990,0,2002,98166
810000,4,2.5,3520,15420,2,0,3520,0,1991,98074
785000,4,2.75,2440,69415,1,0,1910,530,1989,98075
338000,4,3,2090,7500,1,0,1370,720,1986,98056
280000,3,2.25,1430,7222,2,0,1430,0,1993,98056
315000,4,2.25,2180,10754,1,0,1100,1080,1954,98133
530000,4,2.25,2180,10754,1,0,1100,1080,1954,98133
380000,5,3,3450,9914,2,0,3450,0,2004,98023
297000,3,2.25,1450,7562,2,0,1450,0,1994,98056
730000,4,2.5,3230,7331,2,0,3230,0,2004,98075
450000,3,1.75,1640,13500,1,0,1110,530,1940,98125
275000,3,3,1590,7750,1,0,1060,530,1997,98038
595000,4,2,2020,2849,2,0,2020,0,1960,98115
435000,3,1.5,1300,3348,1.5,0,1300,0,1904,98144
270000,2,1.5,1380,209959,1,0,1380,0,1954,98011
950000,3,3,4040,14338,2,0,3030,1010,1986,98077
389000,4,2.25,2130,5337,2,0,2130,0,2001,98019
560000,4,2.25,2550,7800,1,0,1580,970,1968,98052
1350000,5,3.5,4800,14984,2,0,3480,1320,1998,98006
799000,4,2.25,2510,11585,2,0,2510,0,1969,98040
365500,3,2,1410,9600,1,0,1410,0,1983,98072
252350,3,2,1650,7352,1,0,1160,490,1979,98058
403950,4,2.5,2120,13780,2,0,2120,0,1993,98146
385000,4,1.5,2040,10726,1,0,1380,660,1954,98177
345000,4,1,1550,7620,1.5,0,1550,0,1957,98106
490000,3,2.75,1980,3128,2,0,1980,0,1979,98008
330000,3,2.5,1600,26977,2,0,1600,0,2005,98019
927000,4,2.75,3300,12090,2,0,3300,0,1953,98004
1118000,4,2.5,3840,16619,2,0,3840,0,1983,98040
330000,2,1,1220,10000,1,0,1220,0,1950,98028
530000,5,2.25,2720,8800,1,0,1500,1220,1958,98008
365000,4,2,1940,25600,1,0,1940,0,1962,98006
378750,3,2.5,2160,3000,1.5,0,1260,900,1909,98118
269900,4,1.75,1530,8750,1.5,0,1530,0,1968,98058
557000,3,3.5,1710,2096,2,0,1290,420,2008,98122
360000,4,1.75,3730,16980,1,0,2150,1580,1974,98022
352000,2,1,940,5000,1,0,940,0,1937,98117
437000,3,2.5,1750,22357,2,0,1750,0,1994,98045
322500,4,2.5,1820,6753,2,0,1820,0,1994,98038
650000,3,3.25,1510,2000,2,0,1330,180,2001,98116
450000,3,2,1290,1213,3,0,1290,0,2001,98103
278500,3,2,1570,5250,1,0,1570,0,1998,98092
364950,4,2.5,1930,6957,2,0,1930,0,1995,98055
840000,4,3.5,2840,40139,1,0,2840,0,1986,98038
268000,3,2.5,1550,8134,2,0,1550,0,1991,98031
517534,2,1,833,143947,1,0,833,0,2006,98070
632925,3,2.5,2990,32239,2,0,2990,0,1978,98077
577500,3,2.5,2000,7251,2,0,2000,0,1995,98034
339000,4,1.5,2390,7480,1.5,0,2390,0,1920,98178
570000,3,1.75,2910,37461,1,0,1530,1380,1967,98052
563500,4,1.75,2085,174240,1,0,1610,475,1964,98024
423000,4,2.25,2200,9351,1,0,1290,910,1962,98133
355000,3,2.25,1860,5028,2,0,1860,0,2012,98019
1550000,5,4.25,6070,171626,2,0,6070,0,1999,98024
482000,2,1,950,3960,1,0,950,0,1941,98103
625000,3,1.75,1600,9135,1,0,1600,0,1955,98006
538000,3,2.5,2250,11632,2,0,2250,0,1988,98056
380000,3,2.5,2280,10255,2,0,2280,0,1985,98058
375000,2,1,940,5120,1,0,940,0,1909,98122
245000,3,2.5,1530,8500,1,0,1030,500,1996,98038
310000,5,1.75,2190,27260,1,0,2190,0,1947,98166
1300000,3,2,2350,15021,1,0,1770,580,1976,98004
397000,4,2,1440,7680,1,0,1200,240,1971,98034
365000,3,2.5,2200,4052,2,0,2200,0,2005,98058
328500,4,3,2290,8250,2,0,2290,0,1990,98042
988000,4,3,4040,19700,2,0,4040,0,1987,98052
1000000,4,2.5,2610,3277,1.5,0,1920,690,1922,98103
237000,3,2.5,1490,2138,2,0,1490,0,2005,98055
525000,4,2.5,2450,5280,2,0,2450,0,2003,98011
749000,4,2.5,1710,9627,1,0,1440,270,1976,98006
722500,5,2.5,4870,11800,2,0,3470,1400,1983,98074
843000,3,2.5,3130,8750,2,0,3130,0,1991,98052
438000,2,2,1270,1372,3,0,1270,0,2000,98115
578000,3,1.75,2120,10875,1,0,1540,580,1977,98146
227950,3,1.5,1670,8230,1,0,1670,0,1954,98001
196000,3,2.25,2070,11576,2,0,2070,0,1974,98001
641000,2,1,1420,5332,1,0,1070,350,1953,98105
350000,3,1.5,1250,219978,1,0,1250,0,1980,98038
205000,3,1,940,7980,1,0,940,0,1960,98032
400000,3,1.75,1920,9102,1,0,1920,0,1968,98072
1030000,3,2.5,3545,9816,1,0,2610,935,2005,98027
505000,3,2,1260,5460,1,0,1260,0,1972,98034
475000,5,2.5,2340,7200,1,0,1300,1040,1975,98034
520000,3,2.25,2590,9263,1,0,1440,1150,1977,98028
1450000,3,4.5,3970,24920,2,0,3260,710,1977,98034
333500,3,1.75,1220,9732,1,0,1220,0,1965,98011
232000,3,1,1400,10403,1,0,1400,0,1976,98038
691100,3,2.75,2360,16117,1,0,1710,650,1983,98006
811000,3,1.75,1870,9897,1,0,1870,0,1960,98040
551000,3,2.5,2830,5802,2,0,2830,0,2001,98028
496500,3,2.5,2260,3640,2,0,2260,0,1994,98072
705000,3,3,1970,20978,2,1,1770,200,1980,98070
578000,4,2.5,3140,9225,1,0,1770,1370,1966,98055
255000,3,1.75,1240,8659,1,0,1240,0,1986,98042
1050000,4,3.5,3450,7832,2,0,3450,0,2007,98006
348000,3,2.25,2570,8491,2,0,2570,0,1989,98042
230000,3,2,1510,3413,2,0,1510,0,1985,98031
359500,4,2.25,2390,11250,2,0,2390,0,1988,98023
330000,3,1,980,7000,1,0,980,0,1953,98133
80000,1,0.75,430,5050,1,0,430,0,1912,98014
465000,3,1.75,1480,6360,1,0,1480,0,1954,98133
325000,4,2.5,1850,7324,2,0,1850,0,1997,98042
340500,3,2,2270,28025,1,0,1920,350,1947,98168
